"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eq_q1","Integer","","Recommended","My child likes to look after other people","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q2","Integer","","Recommended","My child often doesn't understand why some things upset other people so much","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q3","Integer","","Recommended","My child would not cry or get upset if a character in a film died","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q4","Integer","","Recommended","My child is quick to notice when people are joking","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q5","Integer","","Recommended","My child enjoys cutting up worms, or pulling the legs off insects","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q6","Integer","","Recommended","My child has stolen something they wanted from their sibling or friend","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q7","Integer","","Recommended","My child has trouble forming friendships","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q8","Integer","","Recommended","When playing with other children, my child spontaneously takes turns and shares toys","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q9","Integer","","Recommended","My child can be blunt giving their opinions, even when these may upset someone","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q10","Integer","","Recommended","My child would enjoy looking after a pet","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q11","Integer","","Recommended","My child is often rude or impolite without realizing it","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q12","Integer","","Recommended","My child has been in trouble for physical bullying","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q13","Integer","","Recommended","At school, when my child understands something they can easily explain it clearly to others","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q14","Integer","","Recommended","My child has one or two close friends, as well as several other friends","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q15","Integer","","Recommended","My child listens to others' opinions, even when different from their own","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q16","Integer","","Recommended","My child shows concern when others are upset","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q17","Integer","","Recommended","My child can seem so preoccupied with their own thoughts that they don't notice others getting bored","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q18","Integer","","Recommended","My child blames other children for things that they themselves have done","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q19","Integer","","Recommended","My child gets very upset if they see an animal in pain","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q20","Integer","","Recommended","My child sometimes pushes or pinches someone if they are annoying them","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q21","Integer","","Recommended","My child can easily tell when another person wants to enter into conversation with them","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q22","Integer","","Recommended","My child is good at negotiating for what they want","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q23","Integer","","Recommended","My child would worry about how another child would feel if they weren't invited to a party","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q24","Integer","","Recommended","My child gets upset at seeing others crying or in pain","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q25","Integer","","Recommended","My child likes to help new children integrate in class","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q26","Integer","","Recommended","My child has been in trouble for name-calling or teasing","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
"eq_q27","Integer","","Recommended","My child tends to resort to physical aggression to get what they want","1::4","1=Definitely Disagree; 2=Slightly Disagree; 3=Slightly Agree; 4=Definitely Agree",""
