"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hhrds1","Integer","","Recommended","In the past year, how many times have you been treated unfairly by strangers because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_5"
"hhrds2","Integer","","Recommended","In the past year, how many times have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, waitresses, bank tellers, mechanics, and others) because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_4"
"hhrds3","Integer","","Recommended","In the past year, how many times have you been verbally insulted because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)",""
"hhrds4","Integer","","Recommended","In the past year, how many times have you been made fun of, picked on, pushed, shoved, hit, or threatened with harm because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_10"
"hhrds5","Integer","","Recommended","In the past year, how many times have you been called heterosexist or transphobic names like dyke, lezzie, faggot, queer, or other names?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_9"
"hhrds6","Integer","","Recommended","In the past year, how many times were you denied a raise, a promotion, tenure, a good assignment, a job, or other such thing at work that you deserved because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_7"
"hhrds7","Integer","","Recommended","In the past year, how many times have you been treated unfairly by teachers or professors because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_1"
"hhrds8","Integer","","Recommended","In the past year, how many times have you been treated unfairly by your employer, boss, or supervisors because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_2"
"hhrds9","Integer","","Recommended","In the past year, how many times have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, caseworkers, dentists, school counsellors, therapists, pediatricians, school principals, gynecologists, and others) because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_6"
"hhrds10","Integer","","Recommended","In the past year, how many times have you been rejected by friends because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_12"
"hhrds11","Integer","","Recommended","In the past year, how many times have you been treated unfairly by your co-workers, fellow students, or colleagues because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_3"
"hhrds12","Integer","","Recommended","In the past year, how many times have you heard ANTI-LGBTQ+ remarks from family members?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_13"
"hhrds13","Integer","","Recommended","In the past year, how many times have you been treated unfairly by your family because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_8"
"hhrds14","Integer","","Recommended","In the past year, how many times have you been rejected by family members because you are an LGBTQ+ individual?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)","hhrd_11"
"hhrd01_6mo","Integer","","Recommended","In the past six months, how many times have you been treated unfairly by teachers or professors because of your sexual identity? ","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd02_6mo","Integer","","Recommended","In the past six months, how many times have you been treated unfairly by your employer, boss, or supervisors because of your sexual identity? ","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd03_6mo_","Integer","","Recommended","In the past six months, how many times have you been treated unfairly by coworkers, fellow students, or colleagues because of your sexual identity? ","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd04_6mo","Integer","","Recommended","In the past six months, have you been treated unfairly by people in service jobs (by store clerks, waiters, bartenders, waitresses, bank tellers, mechanics, and others) because of your sexual identity? ","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd05_6mo","Integer","","Recommended","In the past six months, how many times have you been treated unfairly by strangers because of your sexual identity?","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd06_6mo","Integer","","Recommended","In the past six months, have you been treated unfairly by people in helping jobs (by doctors, nurses, psychiatrists, caseworkers, dentists, school counselors, therapists, pediatricians, school principals, gynecologists, and others) because of your sexual identity?","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrd07_6mo","Integer","","Recommended","In the past six months, How many times were you denied a raise, a promotion, tenure, a good assignment, a job, or other such thing at work that you deserved because of your sexual identity?","1::6","1 = Never; 2 = Once in a while (<10% of the time); 3 = Sometimes (10-25% of the time); 4 = A lot (26-49% of the time); 5 = Most of the time (50-70% of the time); 6 = Almost all of the time (>70% of the time)",""
"hhrds_9","Integer","","Recommended","In the past year, how many times have you been called a homophobic slur?","1::6","1 = The event has never happened to you; 2 = The event happened once in a while (less than 10% of the time); 3 = The event happened sometimes (10-25% of the time); 4 = The event happened a lot (26-49% of the time); 5 = The event happened most of the time (50-70% of the time); 6 = The event happened almost all of the time (more than 70% of the time)",""
