"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"snais_1","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Sent messages to friends on a message board","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_2","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Chatted with friends via instant message or direct message function","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_3","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Replied to comments made by social networking friends","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_4","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Commented on a friends status, logs, and photos","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_5","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Shared/forwarded content","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_6","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Browsed others logs/photos/statuses/albums","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_7","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Updated self-status","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_8","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Posted photos/videos","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_9","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Wrote blogs/weibo","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_10","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Decorated personal profile (changed image/contact information/privacy setting)","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_11","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Surfed entertainment/current news","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_12","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Watched videos/listened to music","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_13","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Played games/applications","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
"snais_14","Integer","","Recommended","How often have you performed the following online social networking activities in the last month? Bought/gave virtual goods (e.g., birthday gifts)","0::5","0 = Never; 1 = Few; 2 = Occasional; 3 = Sometimes; 4 = Often; 5 = Always",""
