"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hh1","Integer","","Recommended","Do you have the following in your household - Radio?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh2","Integer","","Recommended","Do you have the following in your household - Phone?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh3","Integer","","Recommended","Do you have the following in your household - Television?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh4","Integer","","Recommended","Do you have the following in your household - Fridge?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh5","Integer","","Recommended","Do you have the following in your household - Bike?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh6","Integer","","Recommended","Do you have the following in your household - Stove?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh7","Integer","","Recommended","Do you have the following in your household - Microwave?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh8","Integer","","Recommended","Do you have the following in your household - Washing machine?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh9","Integer","","Recommended","Do you have the following in your household - Mattress?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh10","Integer","","Recommended","Do you have the following in your household - Computer?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh11","Integer","","Recommended","Do you have the following in your household - Satellite dish?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh12","Integer","","Recommended","Do you have the following in your household - Motorcycle car?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
"hh13","Integer","","Recommended","Do you have the following in your household - Running water?","0;1;99","0=No; 1=Yes; 99=Refuse to answer",""
