"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sipc_01","Integer","","Recommended","I have been unhappy because of my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_02","Integer","","Recommended","I have been unhappy because of my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_03","Integer","","Recommended","Because of my DRINKING, I have not eaten properly","0;1","0 = No; 1 = Yes",""
"sipc_04","Integer","","Recommended","Because of my DRUG USE, I have not eaten properly","0;1","0 = No; 1 = Yes",""
"sipc_05","Integer","","Recommended","I have failed to do what was expected of me due to my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_06","Integer","","Recommended","I have failed to do what was expected of me due to my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_07","Integer","","Recommended","I have felt guilty or ashamed because of my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_08","Integer","","Recommended","I have felt guilty or ashamed because of my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_09","Integer","","Recommended","I have taken foolish risks when I have been DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_10","Integer","","Recommended","I have taken foolish risks when I was using DRUGS","0;1","0 = No; 1 = Yes",""
"sipc_11","Integer","","Recommended","When DRINKING, I have done impulsive things that I regretted later","0;1","0 = No; 1 = Yes",""
"sipc_12","Integer","","Recommended","When using DRUGS, I have done impulsive things that I regretted later","0;1","0 = No; 1 = Yes",""
"sipc_13","Integer","","Recommended","My physical health has been harmed by my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_14","Integer","","Recommended","My physical health has been harmed by my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_15","Integer","","Recommended","I have had money problems because of my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_16","Integer","","Recommended","I have had money problems because of my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_17","Integer","","Recommended","My physical appearance has been harmed by my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_18","Integer","","Recommended","My physical appearance has been harmed by my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_19","Integer","","Recommended","My family has been hurt by my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_20","Integer","","Recommended","My family has been hurt by my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_21","Integer","","Recommended","A friendship or close relationship has been damaged by my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_22","Integer","","Recommended","A friendship or close relationship has been damaged by my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_23","Integer","","Recommended","My DRINKING has gotten in the way of my growth as a person","0;1","0 = No; 1 = Yes",""
"sipc_24","Integer","","Recommended","My DRUG USE has gotten in the way of my growth as a person","0;1","0 = No; 1 = Yes",""
"sipc_25","Integer","","Recommended","My DRINKING has damaged my social life, popularity, or reputation","0;1","0 = No; 1 = Yes",""
"sipc_26","Integer","","Recommended","My DRUG USE has damaged my social life, popularity, or reputation","0;1","0 = No; 1 = Yes",""
"sipc_27","Integer","","Recommended","I have spent too much or lost a lot of money because of my DRINKING","0;1","0 = No; 1 = Yes",""
"sipc_28","Integer","","Recommended","I have spent too much or lost a lot of money because of my DRUG USE","0;1","0 = No; 1 = Yes",""
"sipc_29","Integer","","Recommended","I have had an accident while DRINKING or intoxicated","0;1","0 = No; 1 = Yes",""
"sipc_30","Integer","","Recommended","I have had an accident while high on DRUGS","0;1","0 = No; 1 = Yes",""
