"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"risci_stress1","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt there was not enough time to complete my daily tasks","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress2","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt I had more stress than usual","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress3","Integer","","Recommended","In the last month, how often was each statement true of your own life? I took on more than I could handle","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress4","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt overwhelmed","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress5","Integer","","Recommended","In the last month, how often was each statement true of your own life? I was pressured by others","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress6","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt stressed by unexpected events","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_stress7","Integer","","Recommended","In the last month, how often was each statement true of your own life? I had no time to relax","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_cope1","Integer","","Recommended","In the last month, how often was each statement true of your own life? I successfully solved problems that came up","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_cope2","Integer","","Recommended","In the last month, how often was each statement true of your own life? I was able to cope with unexpected problems","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_cope3","Integer","","Recommended","In the last month, how often was each statement true of your own life? I was able to cope with difficult situations","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_cope4","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt able to meet demands","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
"risci_cope5","Integer","","Recommended","In the last month, how often was each statement true of your own life? I felt able to cope with stress","1::5","1=Never; 2=Seldom; 3=Occasionally; 4=Often; 5=Frequently",""
