"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","","patid,randid"
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","leit_age"
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"leit_full_sss","Integer","","Required","","Nonverbal IQ Sum of Scaled Scores","","999=missing","intFSIQSumScaled"
"leit_full_iq","Integer","","Required","","Nonverbal IQ Score","","999=missing","intFSIQScore"
"leit_full_per","Float","","Recommended","","Nonverbal IQ Percentile","","","intFSIQPerc"
"leit_full_lci","Integer","","Recommended","","Nonverbal IQ Lower Confidence Interval","","",""
"leit_full_uci","Integer","","Recommended","","Nonverbal IQ Upper Confidence Interval","","","l_biq_in"
"leit_full_raw","Integer","","Recommended","","Nonverbal IQ Sum of Raw Scores","0 :: 205; 999","","intFSIQSumRaw"
"leit_full_gs","Integer","","Recommended","","Nonverbal IQ Growth Score","367 :: 572; 999","","intFSIQGrowth"
"leit_full_ae","Integer","","Recommended","","Nonverbal IQ Age Equivalent","","","intFSIQAgeEq"
"leit_brief_sss","Integer","","Required","","Brief IQ Sum of Scaled Scores","","999=missing","intBriefIQSumScaled,l_biq_sm"
"leit_brief_iq","Integer","","Required","","Brief IQ Score","","999=missing","intBriefIQScore,l_biq_iq"
"leit_brief_per","Float","","Recommended","","Brief IQ Percentile","","","intBriefIQPerc,l_biq_pe"
"leit_brief_lci","Integer","","Recommended","","Brief IQ Lower Confidence Interval","","",""
"leit_brief_uci","Integer","","Recommended","","Brief IQ Upper Confidence Interval","","",""
"leit_brief_raw","Integer","","Recommended","","Brief IQ Sum of Raw Scores","0 :: 205; 999","","intBriefIQSumRaw"
"leit_brief_gs","Integer","","Recommended","","Brief IQ Growth Score","","","intBriefIQGrowth"
"leit_brief_ae","Integer","","Recommended","","Brief IQ Age Equivalent","","","intBriefIQAgeEq"
"leit_flreas_sss","Integer","","Recommended","","Fluid Reasoning Sum of Scaled Scores","","","intFluidReasSumScaled"
"leit_flreas_iq","Integer","","Recommended","","Fluid Reasoning Score","","","intFluidReasScore"
"leit_flreas_per","Float","","Recommended","","Fluid Reasoning Percentile","","","intFluidReasPerc"
"leit_flreas_lci","Integer","","Recommended","","Fluid Reasoning Lower Confidence Interval","","",""
"leit_flreas_uci","Integer","","Recommended","","Fluid Reasoning Upper Confidence Interval","","",""
"leit_flreas_raw","Integer","","Recommended","","Fluid Reasoning Sum of Raw Scores","0 :: 205; 999","","intFluidReasSumRaw"
"leit_flreas_gs","Integer","","Recommended","","Fluid Reasoning Growth Score","367 :: 572; 999","","intFluidReasGrowth"
"leit_flreas_ae","Integer","","Conditional","interview_age > 731 && interview_age < 1826","Fluid Reasoning Age Equivalent","","","intFluidReasAgeEq"
"leit_funvis_sss","Integer","","Conditional","interview_age > 24 && interview_age < 71","Fundamental Visualization Sum of Scaled Scores","","","intFundVisSumScaled"
"leit_funvis_iq","Integer","","Conditional","interview_age > 24 && interview_age < 71","Fundamental Visualization Score","","","intFundVisScore"
"leit_funvis_per","Float","","Conditional","interview_age > 24 && interview_age < 71","Fundamental Visualization Percentile","","","intFundVisPerc"
"leit_funvis_lci","Integer","","Recommended","","Fundamental Visualization Lower Confidence Interval","","",""
"leit_funvis_uci","Integer","","Recommended","","Fundamental Visualization Upper Confidence Interval","","",""
"leit_funvis_raw","Integer","","Recommended","","Fundamental Visualization Sum of Raw Scores","0 :: 205; 999","","intFundVisSumRaw"
"leit_funvis_gs","Integer","","Recommended","","Fundamental Visualization Growth Score","367 :: 572; 999","","intFundVisGrowth"
"leit_funvis_ae","Integer","","Recommended","","Fundamental Visualization Age Equivalent","","","intFundVisAgeEq"
"leit_spvis_sss","Integer","","Conditional","interview_age > 132 && interview_age < 251","Spatial Visualization Sum of Scaled Scores","","","intSpatVisSumScaled"
"leit_spvis_iq","Integer","","Conditional","interview_age > 132 && interview_age < 251","Spatial Visualization Score","","","intSpatVisScore"
"leit_spvis_per","Float","","Conditional","interview_age > 132 && interview_age < 251","Spatial Visualization Percentile","","","intSpatVisPerc"
"leit_spvis_lci","Integer","","Recommended","","Spatial Visualization Lower Confidence Interval","","",""
"leit_spvis_uci","Integer","","Recommended","","Spatial Visualization Upper Confidence Interval","","",""
"leit_spvis_raw","Integer","","Recommended","","Spatial Visualization Sum of Raw Scores","0 :: 205; 999","","intSpatVisSumRaw"
"leit_spvis_gs","Integer","","Recommended","","Spatial Visualization Growth Score","367 :: 572; 999","","intSpatVisGrowth"
"leit_spvis_ae","Integer","","Recommended","","Spatial Visualization Age Equivalent","","","intSpatVisAgeEq"
"leit_fg_ss","Integer","","Recommended","","Figure Ground (FG) Subtest Scaled Score","","","intFigGroundScaled,l_fg_s"
"leit_fg_per","Float","","Recommended","","Figure Ground (FG) Subtest Percentile","0.1 :: 99.9; 999","","intFigGroundPerc"
"leit_fg_gs","Integer","","Recommended","","Figure Ground (FG) Subtest Growth Score","363::573; 999","","intFigGroundGrowth"
"leit_fg_ae","String","5","Recommended","","Figure Ground (FG) Subtest Age Equivalent","","","intFigGroundAgeEq"
"leit_da_ss","Integer","","Conditional","interview_age > 72 && interview_age < 251","Design Analogies (DA) Subtest Scaled Score","","999=missing","intDesignAnalogScaled"
"leit_da_per","Float","","Recommended","","Design Analogies (DA) Subtest Percentile","0.1 :: 99.9; 999","","intDesignAnalogPerc"
"leit_da_gs","Integer","","Recommended","","Design Analogies (DA) Subtest Growth Score","367 :: 572; 999","","intDesignAnalogGrowth"
"leit_da_ae","Integer","","Recommended","","Design Analogies (DA) Subtest Age Equivalent","","","intDesignAnalogAgeEq"
"leit_fc_ss","Integer","","Recommended","","Form Completion (FC) Subtest Scaled Score","","","intFormCompletScaled,l_fc_s"
"leit_fc_per","Float","","Recommended","","Form Completion (FC) Subtest Percentile","0.1 :: 99.9; 999","","intFormCompletPerc"
"leit_fc_gs","Integer","","Recommended","","Form Completion (FC) Subtest Growth Score","343 :: 553; 999","","intFormCompletGrowth"
"leit_fc_ae","String","5","Recommended","","Form Completion (FC) Subtest Age Equivalent","","","intFormCompletAgeEq"
"leit_m_ss","Integer","","Recommended","","Matching (M) Subtest Scaled Score","","","intMatchingScaled"
"leit_m_per","Float","","Recommended","","Matching (M) Subtest Percentile","0.1 :: 99.9; 999","","intMatchingPerc"
"leit_m_gs","Integer","","Recommended","","Matching (M) Subtest Growth Score","367 :: 572; 999","","intMatchingGrowth"
"leit_m_ae","Integer","","Recommended","","Matching (M) Subtest Age Equivalent","","","intMatchingAgeEq"
"leit_so_ss","Integer","","Recommended","","Sequential Order (SO) Scaled Score","","","intSeqOrdScaled,l_so_s"
"leit_so_per","Float","","Recommended","","Sequential Order (SO) Percentile","0.1 :: 99.9; 999","","intSeqOrdPerc"
"leit_so_gs","Integer","","Recommended","","Sequential Order (SO) Growth Score","363::577;999","","intSeqOrdGrowth"
"leit_so_ae","String","5","Recommended","","Sequential Order (SO) Age Equivalent","","","intSeqOrdAgeEq"
"leit_rp_ss","Integer","","Recommended","","Repeated Patterns (RP) Scaled Score","","","intRepeatPatternScaled,l_rp_s"
"leit_rp_per","Float","","Recommended","","Repeated Patterns (RP) Percentile","0.1 :: 99.9; 999","","intRepeatPatternPerc"
"leit_rp_gs","Integer","","Recommended","","Repeated Patterns (RP) Growth Score","367 :: 572; 999","","intRepeatPatternGrowth"
"leit_rp_ae","Integer","","Recommended","","Repeated Patterns (RP) Age Equivalent","","","intRepeatPatternAgeEq"
"leit_pc_ss","Integer","","Conditional","interview_age > 24 && interview_age < 71","Picture Context (PC) Scaled Score","","","intPicContextScaled"
"leit_pc_per","Float","","Recommended","","Picture Context (PC) Percentile","0.1 :: 99.9; 999","","intPicContextPerc"
"leit_pc_gs","Integer","","Recommended","","Picture Context (PC) Growth Score","367 :: 572; 999","","intPicContextGrowth"
"leit_pc_ae","Integer","","Recommended","","Picture Context (PC) Age Equivalent","","","intPicContextAgeEq"
"leit_c_ss","Integer","","Recommended","","Classification Analogies (CA ) Scaled Score","","","intClassificationScaled"
"leit_c_per","Float","","Recommended","","Classification Analogies (CA) Percentile","0.1 :: 99.9; 999","","intClassificationPerc"
"leit_c_gs","Integer","","Recommended","","Classification Analogies (CA) Growth Score","361::572; 999","","intClassificationGrowth"
"leit_c_ae","String","5","Recommended","","Classification Analogies (CA) Age Equivalent","","","intClassificationAgeEq"
"leit_pf_ss","Integer","","Conditional","interview_age > 72 && interview_age < 251","Paper Folding (PF) Scaled Score","","999=missing","intPaperFoldScaled"
"leit_pf_per","Float","","Recommended","","Paper Folding (PF) Percentile","0.1 :: 99.9; 999","","intPaperFoldPerc"
"leit_pf_gs","Integer","","Recommended","","Paper Folding (PF) Growth Score","367 :: 572; 999","","intPaperFoldGrowth"
"leit_pf_ae","Integer","","Recommended","","Paper Folding (PF) Age Equivalent","0::1200","","intPaperFoldAgeEq"
"leit_fr_ss","Integer","","Conditional","interview_age > 132 && interview_age < 251","Figure Rotation (FR) Scaled Score","","","intFigRotatScaled"
"leit_fr_per","Float","","Recommended","","Figure Rotation (FR) Percentile","0.1 :: 99.9; 999","","intFigRotatPerc"
"leit_fr_gs","Integer","","Recommended","","Figure Rotation (FR) Growth Score","367 :: 572; 999","","intFigRotatGrowth"
"leit_fr_ae","Integer","","Recommended","","Figure Rotation (FR) Age Equivalent","","","intFigRotatAgeEq"
"leit_fg_dino","Integer","","Recommended","","FG 1. Dinosaur","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_bush","Integer","","Recommended","","FG 1. Bush","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_dog","Integer","","Recommended","","FG 2. Dog","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_wagon","Integer","","Recommended","","FG 2. Red Wagon","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_house","Integer","","Recommended","","FG 2. Dog house","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_lemon","Integer","","Recommended","","FG 3. Lemon on sign","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_shirt","Integer","","Recommended","","FG 3. Boy's shirt","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_2lemon","Integer","","Recommended","","FG 3. Two lemons on table","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_brush","Integer","","Recommended","","FG 4. Brush on floor","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_faucet","Integer","","Recommended","","FG 4. Faucet","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_plant","Integer","","Recommended","","FG 4. Plant held by man","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_bsmile","Integer","","Recommended","","FG 5. Boy's smile","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_shoe","Integer","","Recommended","","FG 5. African-American boys shoe","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_bow","Integer","","Recommended","","FG 5. Blond girl's hair bow","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_hat","Integer","","Recommended","","FG 6. Clown's pink hat","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_apron","Integer","","Recommended","","FG 6. Doll's orange apron","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_vest","Integer","","Recommended","","FG 6. Clown's checkered vest","0;1;999","0 = Incorrect; 1 = Correct; 999 = Missing value",""
"leit_fg_book","Integer","","Recommended","","FG 7. Upside down house on book","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_dresser","Integer","","Recommended","","FG 7. Doll on top of dresser","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_wheel","Integer","","Recommended","","FG 7. Bed wheel","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_leaves","Integer","","Recommended","","FG 8. Leaves of plant","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_strap","Integer","","Recommended","","FG 8. Shoulder pad on guitar strap","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_chairleg","Integer","","Recommended","","FG 8. Chair leg","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_wave","Integer","","Recommended","","FG 9. Wave in pool","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_swimsuit","Integer","","Recommended","","FG 9. Man's swimming suit","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_collar","Integer","","Recommended","","FG 9. Man's collar","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_building","Integer","","Recommended","","FG 10. Railing on red building","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_rwtruck","Integer","","Recommended","","FG 10. Door on red & white truck","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_curtains","Integer","","Recommended","","FG 10. Opening at orange curtains","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_otruck","Integer","","Recommended","","FG 10. Door on orange truck","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_awning","Integer","","Recommended","","FG 10. End of awning","0; 1","0 = Incorrect; 1 = Correct",""
"leit_fg_notes","String","255","Recommended","","FG Examiner's Notes and Observations","","",""
"leit_fg_raw","Integer","","Conditional","interview_age > 24 && interview_age < 251","FG Raw Score","0 :: 33; 999","999 = Missing value","intFigGroundRaw,l_fg_r"
"leit_da_banana","Integer","","Recommended","","DA 1. Banana","0;1;999","0 = Incorrect; 1 = Correct; 999 = Missing value",""
"leit_da_square","Integer","","Recommended","","DA 2. Square","0;1;999","0 = Incorrect; 1 = Correct; 999 = Missing value",""
