"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"auds_1_fu","Integer","","Recommended","Have you spent a lot of time thinking about alcohol?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_2_fu","Integer","","Recommended","Have you felt anxious, agitated, or restless after stopping or cutting down on drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_3_fu","Integer","","Recommended","Have you often thought about needing to cut down or stop drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_4_fu","Integer","","Recommended","Have you found that you needed larger amounts of alcohol to feel any effect, or that you could no longer get tipsy or drunk on the amount that used to get you tipsy or drunk?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_5_fu","Integer","","Recommended","Have you felt a very strong urge or desire to drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_6_fu","Integer","","Recommended","Have you been intoxicated in situations that might be dangerous (e.g., driving while intoxicated, walking close to traffic, swimming, etc.)?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_7_fu","Integer","","Recommended","Has your drinking gotten you into sexual situations you later regretted?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_8_fu","Integer","","Recommended","Has drinking alcohol caused you to have serious problems either at home, work, or school?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_8b_fu","Integer","","Recommended","Have you continued to drink even though it was causing you problems at school or at work?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_9_fu","Integer","","Recommended","Have you tried to set limits on how often or how much alcohol you would drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_10_fu","Integer","","Recommended","Have you drunk alcohol in larger amounts or over a longer period than intended?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_11_fu","Integer","","Recommended","Have you said things while drinking that you later regretted?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_12_fu","Integer","","Recommended","Have you spent a great deal of time recovering from drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_13_fu","Integer","","Recommended","Have you not had as much time to pursue activities or recreation because of drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_14_fu","Integer","","Recommended","Has drinking made you feel depressed, anxious, or sad?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_15_fu","Integer","","Recommended","Did you ever find yourself sweating or your heart beating fast (when effects of alcohol were wearing off)?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_16_fu","Integer","","Recommended","Have you given up or cut down on activities that you were interested in or that gave you pleasure in order to drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_17_fu","Integer","","Recommended","Have important social, occupational, or recreational activities been given up or reduced because of alcohol use?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_18_fu","Integer","","Recommended","Have you TRIED to stop or cut down on your drinking but found you couldn't do it?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_19_fu","Integer","","Recommended","Have you increased your drinking because the amount you used to drink didn't give you the same effect anymore?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_20_fu","Integer","","Recommended","Has your drinking damaged your social life, popularity, or reputation?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_21_fu","Integer","","Recommended","Have you wanted a drink so badly that you couldn't think of anything else?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_22_fu","Integer","","Recommended","Have you become very rude, obnoxious, or insulting after drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_23_fu","Integer","","Recommended","Have you had any physical health problems that were probably caused or made worse by drinking alcohol?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_23b_fu","Integer","","Recommended","Have you continued to drink alcohol even though you thought drinking was causing you to have physical problems?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_24_fu","Integer","","Recommended","Have you often ended up drinking on nights when you had planned not to drink?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
"auds_25_fu","Integer","","Recommended","Have you WANTED to stop or cut down on your drinking?","0::2","0=No; 1=Yes, but not in the past 3 months; 2=Yes, in the past 3 months",""
