"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"spis_1","Integer","","Recommended","I don't look people in the eye because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_2","Integer","","Recommended","I think my social life would be better if I didn't pick my skin.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_3","Integer","","Recommended","I hate the way I look because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_4","Integer","","Recommended","It takes me longer to go out because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_5","Integer","","Recommended","I feel embarrassed because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_6","Integer","","Recommended","There are some things I can't do because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_7","Integer","","Recommended","I feel unattractive because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_8","Integer","","Recommended","It takes me longer than others to get ready in the morning because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_9","Integer","","Recommended","I don't like people looking at me because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
"spis_10","Integer","","Recommended","My relationships have suffered because of my skin picking.","0::5","0 = None; 2-3 = Mild; 5= Severe",""
