"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rci01","Integer","","Recommended","I often read books and magazines about my faith","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci02","Integer","","Recommended","I make financial contributions to my religious organization","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci03","Integer","","Recommended","I spend time trying to grow in understanding of my faith","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci04","Integer","","Recommended","Religion is especially important to me because it answers many questions about the meaning of life","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci05","Integer","","Recommended","My religious beliefs lie behind my whole approach to life","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci06","Integer","","Recommended","I enjoy spending time with others of my religious affiliation","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci07","Integer","","Recommended","Religious beliefs influence all my dealings in life","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci08","Integer","","Recommended","It is important to me to spend periods of time in private religious thought and reflection","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci09","Integer","","Recommended","I enjoy working in the activities of my religious affiliation","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
"rci10","Integer","","Recommended","I keep well informed about my local religious group and have some influence in its decisions","1::5","1=Not at all true of me; 2=Somewhat true of me; 3=Moderately true of me; 4=Mostly true of me; 5=Totally true of me",""
