"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ssq_gen_disc","Integer","","Recommended","General discomfort","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_fatigue","Integer","","Recommended","Fatigue","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_headache","Integer","","Recommended","Headache","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_eye_strain","Integer","","Recommended","Eye strain","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_focusing","Integer","","Recommended","Difficulty focusing","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_salivation","Integer","","Recommended","Salivation increasing","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_sweating","Integer","","Recommended","Sweating","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_nausea","Integer","","Recommended","Nausea","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_concentn","Integer","","Recommended","Difficulty concentrating","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_full_head","Integer","","Recommended","Fullness of the Head","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_vision","Integer","","Recommended","Blurred vision","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_dizz_eo","Integer","","Recommended","Dizziness with eyes open","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_dizz_eq","Integer","","Recommended","Dizziness with eyes closed","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_vertigo","Integer","","Recommended","Vertigo","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_stomach","Integer","","Recommended","Stomach awareness","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
"ssq_burping","Integer","","Recommended","Burping","0::3","0=None; 1=Slight; 2=Moderate; 3=Severe",""
