"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"time_alloc_1","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While at school/studying","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_2","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While working","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_3","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While doing housework","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_4","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While shopping","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_5","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While eating","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_6","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While engaging in leisure activities","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_7","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While in social situations","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_8","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While alone","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_9","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While on social media","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
"time_alloc_10","Integer","","Recommended","Of these different activities/situations, how much time do you spend drinking alcohol during them? - While engaging in physical activity","0::6","0 = Never with alcohol; 1 = Almost never with alcohol; 2 = Sometimes with alcohol; 3 = Half of the time with alcohol; 4 =Most of the time with alcohol; 5 = Almost always with alcohol; 6 = Always with alcohol",""
