"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"interpersonal_1","Integer","","Recommended","The opinion others have of me is based on my appearance.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"interpersonal_2","Integer","","Recommended","The amount of influence I have on other people depends upon how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"interpersonal_3","Integer","","Recommended","People will think less of me if I don't look my best.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"interpersonal_4","Integer","","Recommended","People would be more interested in me if I looked better.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"interpersonal_5","Integer","","Recommended","My relationships would improve if I looked the way I wished.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"achievement_6","Integer","","Recommended","The amount of success I have in my (future) job or career depends largely upon how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"achievement_7","Integer","","Recommended","My appearance influences my ability to do things.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"achievement_8","Integer","","Recommended","My performance in activities (e.g., school, work, hobbies) is influenced by how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"achievement_9","Integer","","Recommended","The opportunities that are available to me depend upon how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"achievement_10","Integer","","Recommended","My school and/or work performance or opportunities would improve if I looked the way I wished.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"selfview_11","Integer","","Recommended","My value as a person depends upon how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"selfview_12","Integer","","Recommended","How I feel about myself is largely based on my appearance.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"selfview_13","Integer","","Recommended","I would think more highly of myself if I looked the way I wished.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"selfview_14","Integer","","Recommended","How I look is a large part of who I am.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"selfview_15","Integer","","Recommended","It is difficult to feel good about myself when I am not looking my best.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"feeling_16","Integer","","Recommended","My ability to feel happy depends upon how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"feeling_17","Integer","","Recommended","Improving my appearance is one of the few activities that makes me feel good or like I am accomplishing something.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"feeling_18","Integer","","Recommended","My life will be more exciting or rewarding if I look good.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"feeling_19","Integer","","Recommended","My moods are influenced by how I look.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
"feeling_20","Integer","","Recommended","I would enjoy life more if I looked the way I wished.","0::4","0=not at all; 1=somewhat; 2=moderatley; 3=a lot; 4=extremely",""
