"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"in_sync","Integer","","Recommended","I felt ''in sync'' with them","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"in_common","Integer","","Recommended","I felt like we shared a lot in common","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"worldview_similar","Integer","","Recommended","I felt that we saw the world in the same way","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"experiences_relate","Integer","","Recommended","They were able to relate to my experiences","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"interested_them","Integer","","Recommended","They were interested in my thoughts and feelings","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"respectful_beliefs","Integer","","Recommended","They respected my beliefs and opinions","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"cared_me","Integer","","Recommended","I felt that they cared about me","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"understood_me","Integer","","Recommended","They really understood who I am","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"attentiveness_interact","Integer","","Recommended","I was truly attentive during the interaction","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"interested_me","Integer","","Recommended","I was interested in their thoughts and feelings","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"boring_them","Integer","","Recommended","I thought that they were boring","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"distracted_conv","Integer","","Recommended","I was distracted during the conversation","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"interact_nervous","Integer","","Recommended","I was nervous during the interaction","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"draining_interact","Integer","","Recommended","I felt that my energy was drained by the interaction","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"end_sooner","Integer","","Recommended","I couldn't wait for the interaction to end","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
"communication_difficult","Integer","","Recommended","I felt that it was hard to communicate with them","1::7","1 = Strongly Disagree; 7 = Strongly Agree",""
