"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"taas1","Integer","","Recommended","If I began this treatment, I would be able to complete it.","1::7;-9","1 = Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree; -9 = N/A",""
"taas2","Integer","","Recommended","If I participated in this treatment, I would be able to adhere to its requirements.","1::7;-9","1 = Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree; -9 = N/A",""
"taas3","Integer","","Recommended","I would find this treatment exhausting.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas4","Integer","","Recommended","It would be distressing to me to participate in this treatment.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas5","Integer","","Recommended","Overall, I would find this treatment intrusive.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas6","Integer","","Recommended","This treatment would provide effective ways to help me cope with alcohol use.","1::7;-9","1 = Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree; -9 = N/A",""
"taas7","Integer","","Recommended","I would prefer to try another type of psychological treatment instead of this one.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas8","Integer","","Recommended","I would recommend this treatment to a friend with a similar problem (i.e., alcohol use).","1::7;-9","1 = Strongly disagree; 4 = Neither agree nor disagree; 7 = Strongly agree; -9 = N/A",""
"taas9","Integer","","Recommended","If I began this treatment, I would likely drop out.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_8_v2","Integer","","Recommended","I would prefer to receive medication for my fear/anxiety instead of this treatment.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_10_v2","Integer","","Recommended","I am likely to drop out.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas10","Integer","","Recommended","I would prefer to receive medication for my fear/anxiety instead of this treatment","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_1_v2","Integer","","Recommended","I feel I will be able to complete this treatment","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_2_v2","Integer","","Recommended","I am able to adhere to its requirements.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_3_v2","Integer","","Recommended","I find this treatment exhausting.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_4_v2","Integer","","Recommended","It is distressing to me to participate in this treatment.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_5_v2","Integer","","Recommended","Overall, I find this treatment intrusive.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
"taas_6_v2","Integer","","Recommended","This treatment provides effective ways to help me cope with my fear/anxiety.","1::7;-9","1 = Strongly agree; 4 = Neither agree nor disagree; 7 = Strongly disagree; -9 = N/A",""
