"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"def1","Integer","","Recommended","You become angry when someone takes your place in a long line. To what extent would you normally be able to defuse from feelings of anger?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def2","Integer","","Recommended","You see your favorite food and have the urge to eat it. To what extent would you normally be able to defuse from cravings for food?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def3","Integer","","Recommended","Imagine that you bang your knee on a table leg. To what extent would you normally be able to defuse from physical pain?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def4","Integer","","Recommended","Things have not been going well at school or at your job, and work just keeps piling up. To what extent would you normally be able to defuse from anxious thoughts like ''I'll never get this done.''?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def5","Integer","","Recommended","Imagine you are having a thought such as ""no one likes me."" To what extent would you normally be able to defuse from negative thoughts about yourself?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def6","Integer","","Recommended","You are feeling sad and stuck in a difficult situation that has no obvious end in sight. You experience thoughts such as ""Things will never get any better."" To what extent would you normally be able to defuse from thoughts of hopelessness?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def7","Integer","","Recommended","Imagine you are having a thought such as ""I can't do this"" or ""I just can't get started."" To what extent would you normally be able to defuse from thoughts about motivation or ability?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def8","Integer","","Recommended","Imagine you are having thoughts like, ""I'll never make it"" or ""I have no future."" To what extent would you normally be able to defuse from thoughts about your future?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def9","Integer","","Recommended","You are about to give a presentation to a large group. As you sit waiting your turn, you start to notice your heart racing, butterflies in your stomach, and your hands trembling. To what extent would you normally be able to defuse from sensations of fear?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
"def10","Integer","","Recommended","Imagine that you lose out on something you really wanted. You have feelings of sadness. To what extent would you normally be able to defuse from feelings of sadness?","0::5","0 = Not at all; 1 = A little; 2 = Somewhat; 3 = Moderately; 4 = Quite a lot; 5 = Very much",""
