"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"uofibullyscalebullying1","Integer","","Recommended","In the last 30 days I teased other students.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying2","Integer","","Recommended","In the last 30 days in a group I teased other students.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying3","Integer","","Recommended","In the last 30 days I upset other students for the fun of it.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying4","Integer","","Recommended","In the last 30 days I excluded others.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying5","Integer","","Recommended","In the last 30 days I encouraged people to fight.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying6","Integer","","Recommended","In the last 30 days I spread rumors about others.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying7","Integer","","Recommended","In the last 30 days I was mean to someone when angry.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying8","Integer","","Recommended","In the last 30 days I helped harass other students.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalebullying9","Integer","","Recommended","In the last 30 days I started arguments or conflicts.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalefighting1","Integer","","Recommended","In the last 30 days I got in a physical fight.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalefighting2","Integer","","Recommended","In the last 30 days I got into a physical fight when angry.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalefighting3","Integer","","Recommended","In the last 30 days I threatened to hit or hurt another student.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalefighting4","Integer","","Recommended","In the last 30 days I hit back when someone hit me first.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalefighting5","Integer","","Recommended","In the last 30 days I fought students I could easily beat.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalevictimization1","Integer","","Recommended","In the last 30 days other students made fun of me.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalevictimization2","Integer","","Recommended","In the last 30 days other students picked on me.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalevictimization3","Integer","","Recommended","In the last 30 days other students called me names.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
"uofibullyscalevictimization4","Integer","","Recommended","In the last 30 days I got hit and pushed by other students.","1::5","1=Never; 2=1 or 2 times; 3=3 or 4 times; 4=5 or 6 times; 5=7 or more times",""
