"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"midasp_1","Integer","","Recommended","I pick my skin when I am experiencing a negative emotion such as stress, anger, frustration, or sadness.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_2","Integer","","Recommended","I pick my skin because of something that has happened to me during the day.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_3","Integer","","Recommended","I intentionally start picking my skin.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_4","Integer","","Recommended","I have a ''strange'' sensation just before I pick my skin.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_5","Integer","","Recommended","I pick my skin when I am thinking about something unrelated to skin picking.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_6","Integer","","Recommended","I pick my skin while I am looking in the mirror.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_7","Integer","","Recommended","I pick my skin when I am anxious or upset.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_8","Integer","","Recommended","I am usually not aware of picking my skin during the picking episode.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_9","Integer","","Recommended","I pick my skin when I am concentrating on another activity.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_10","Integer","","Recommended","I am in an almost ''trance-like'' state when I pick my skin.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_11","Integer","","Recommended","I experience an intense urge to pick before I pick my skin.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
"midasp_12","Integer","","Recommended","I don't notice that I have picked my skin until after it's happened.","1::5","1 = Not true for any of my picking; 3 = True for about half of my picking; 5 = True for all of my picking",""
