"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sre_5times1","Integer","","Recommended","How many drinks did it take for you to begin to feel different (where you could feel an effect) during the first 5 times that you ever drank?","","Number of drinks; -99= Effect not endorsed",""
"sre_5times2","Integer","","Recommended","How many drinks did it take for you to feel a bit dizzy, or begin to slur your speech during the first 5 times that you ever drank?","","Number of drinks; -99= Effect not endorsed",""
"sre_5times3","Integer","","Recommended","How many drinks did it take you to begin stumbling, or walking in an uncoordinated manner during the first 5 times that you ever drank?","","Number of drinks; -99= Effect not endorsed",""
"sre_5times4","Integer","","Recommended","How many drinks did it take to pass out, or fall asleep when you did not want to during the first 5 times that you ever drank?","","Number of drinks; -99= Effect not endorsed",""
"sre_3months1","Integer","","Recommended","How many drinks did it take for you to begin to feel different (where you could feel an effect) during the recent 3 months of drinking at least once a month?","","Number of drinks; -99= Effect not endorsed",""
"sre_3months2","Integer","","Recommended","How many drinks did it take for you to feel a bit dizzy, or begin to slur your speech during the recent 3 months of drinking at least once a month?","","Number of drinks; -99= Effect not endorsed",""
"sre_3months3","Integer","","Recommended","How many drinks did it take you to begin stumbling, or walking in an uncoordinated manner during the recent 3 months of drinking at least once a month?","","Number of drinks; -99= Effect not endorsed",""
"sre_3months4","Integer","","Recommended","How many drinks did it take to pass out, or fall asleep when you did not want to during the recent 3 months of drinking at least once a month?","","Number of drinks; -99= Effect not endorsed",""
"sre_heav1","Integer","","Recommended","How many drinks did it take for you to begin to feel different (where you could feel an effect) during the period of heaviest drinking?","","Number of drinks; -99= Effect not endorsed",""
"sre_heav2","Integer","","Recommended","How many drinks did it take for you to feel a bit dizzy, or begin to slur your speech during the period of heaviest drinking?","","Number of drinks; -99= Effect not endorsed",""
"sre_heav3","Integer","","Recommended","How many drinks did it take you to begin stumbling, or walking in an uncoordinated manner during the period of heaviest drinking?","","Number of drinks; -99= Effect not endorsed",""
"sre_heav4","Integer","","Recommended","How many drinks did it take to pass out, or fall asleep when you did not want to during the period of heaviest drinking?","","Number of drinks; -99= Effect not endorsed",""
