"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cases_g101","Integer","","Recommended","Over the next week, how confident are you that you could orient yourself physically toward a client?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g102","Integer","","Recommended","Over the next week, how confident are you that you could capture and understand the messages that a client communicates?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g103","Integer","","Recommended","Over the next week, how confident are you that you could summarize or paraphrase what a client has said in a way that is succinct, concrete, and clear?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g104","Integer","","Recommended","Over the next week, how confident are you that you could ask questions that help a client to clarify or explore his/her thoughts or feelings?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g105","Integer","","Recommended","Over the next week, how confident are you that you could repeat or rephrase a client's statements with an emphasis on his/her feelings?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g106","Integer","","Recommended","Over the next week, how confident are you that you could share about your experience in your role as a helper and disclose past experiences in which you gained some personal insight?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g107","Integer","","Recommended","Over the next week, how confident are you that you could use silence to allow a client to get in touch with his/her thoughts or feelings?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g108","Integer","","Recommended","Over the next week, how confident are you that you could make statements that go beyond what a client has overtly stated and that give him/her a new way of seeing his/her problems, behavior, thoughts, or feelings?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g109","Integer","","Recommended","Over the next week, how confident are you that you could comment on a client's facial expression to encourage emotional expression OR disclose immediate feelings of yours about him/her?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g110","Integer","","Recommended","Over the next week, how confident are you that you could teach or provide a client with helpful information, resources, or answers to questions with simple terms?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g111","Integer","","Recommended","Over the next week, how confident are you that you could assist the client to role-play or rehearse behaviors or communications during session?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g112","Integer","","Recommended","Over the next week, how confident are you that you could develop and collaborate on a plan for tasks that a client could try out between sessions?","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g201","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Keep sessions ''on track'' and focused","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g202","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Respond with the best basic helping skill (depending on what clients' need at a given moment are)","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g203","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Help client explore his/her problems, feelings, or actions","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g204","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Help client to talk about his/her problems at 'deep' level","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g205","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Know what to do or say next after client talks","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g206","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Help client set realistic and achievable goals","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g207","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Help client understand his/her problems, feelings, and actions","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g208","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Remain aware of your intentions during sessions","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
"cases_g209","Integer","","Recommended","Over the next week, how confident are you that you could do this specific task effectively with most clients: Help client decide what actions to take regarding his/her problems","0::9","0 = No confidence at all; 5 = Some confidence; 9 = Complete confidence",""
