"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"szeps1cp","Integer","","Recommended","General fear of separating from attachment figure (Current Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1pp","Integer","","Recommended","General fear of separating from attachment figure (Past Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1cc","Integer","","Recommended","General fear of separating from attachment figure (Current Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1pc","Integer","","Recommended","General fear of separating from attachment figure (Past Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1co","Integer","","Recommended","General fear of separating from attachment figure (Current Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1po","Integer","","Recommended","General fear of separating from attachment figure (Past Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1cb","Integer","","Recommended","General fear of separating from attachment figure (Current Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps1pb","Integer","","Recommended","General fear of separating from attachment figure (Past Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2cp","Integer","","Recommended","School refusal (Current Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2pp","Integer","","Recommended","School refusal (Past Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2cc","Integer","","Recommended","School refusal (Current Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2pc","Integer","","Recommended","School refusal (Past Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2co","Integer","","Recommended","School refusal (Current Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2po","Integer","","Recommended","School refusal (Past Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2cb","Integer","","Recommended","School refusal (Current Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szeps2pb","Integer","","Recommended","School refusal (Past Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1cp","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Current Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1pp","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Past Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1cc","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Current Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1pc","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Past Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1co","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Current Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1po","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Past Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1cb","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Current Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia1pb","Integer","","Recommended","Recurrent excessive distress when separation occurs or is anticipated (Past Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2cp","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Current Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2pp","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Past Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2cc","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Current Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2pc","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Past Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2co","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Current Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2po","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Past Other)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2cb","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Current Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia2pb","Integer","","Recommended","Persistent and excessive worry about losing, or harm befalling (Past Best)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia3cp","Integer","","Recommended","Persistent and excessive worry that an untoward event will lead to separation (Current Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia3pp","Integer","","Recommended","Persistent and excessive worry that an untoward event will lead to separation (Past Parent)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia3cc","Integer","","Recommended","Persistent and excessive worry that an untoward event will lead to separation (Current Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
"szepia3pc","Integer","","Recommended","Persistent and excessive worry that an untoward event will lead to separation (Past Child)","0::3;9","0=Does Not Apply; 1=No Symptom; 2=Subthreshold; 3=Threshold; 9=No Info",""
