"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ctes1_y","Integer","","Recommended","Were you ever in a really bad accident, such as a serious car accident?","0;1","0= No; 1= Yes",""
"ctes2_y","Integer","","Recommended","Were you ever in a disaster such as a tornado, hurricane, fire, big earthquake, or flood?","0;1","0= No; 1= Yes",""
"ctes3_y","Integer","","Recommended","Were you ever so badly hurt or sick that you had to have painful or scary medical treatment?","0;1","0= No; 1= Yes",""
"ctes4_y","Integer","","Recommended","Have you ever been threatened or really picked on by a bully (someone outside of your family)?","0;1","0= No; 1= Yes",""
"ctes5_y","Integer","","Recommended","Have you ever had a parent swear at you, insult you, put you down, or say hurtful things such as ''You're no good,'' ''You will be sent away because you are bad,'' or ''I wish you were never born''?","0;1","0= No; 1= Yes",""
"ctes6_y","Integer","","Recommended","Were you ever completely separated from your parent(s) for a long time, such as going to a foster home, your parent living far apart from you, or never seeing your parent again?","0;1","0= No; 1= Yes",""
"ctes7_y","Integer","","Recommended","Have you ever had a family member who was put in jail or prison or taken away by the police?","0;1","0= No; 1= Yes",""
"ctes8_y","Integer","","Recommended","Have you ever had a time in your life when you did not have the care you needed, such as not having enough to eat, being left in charge of your younger brothers or sisters for long periods of time, or being left with a grown-up who used drugs?","0;1","0= No; 1= Yes",""
"ctes9_y","Integer","","Recommended","Have you ever had a time in your life when you were living in a car, living in a homeless shelter, living in a battered women's shelter, or living on the street?","0;1","0= No; 1= Yes",""
"ctes10_y","Integer","","Recommended","Have you ever had someone living in your home who abused alcohol or used street drugs?","0;1","0= No; 1= Yes",""
"ctes11_y","Integer","","Recommended","Have you ever had someone in your home try to hurt or kill himself/herself, such as cutting himself/herself or taking too many pills or drugs?","0;1","0= No; 1= Yes",""
"ctes12_y","Integer","","Recommended","Have you ever had a family member who was depressed or mentally ill for a long time?","0;1","0= No; 1= Yes",""
"ctes13_y","Integer","","Recommended","Have you ever had a family member or someone else very close to you die unexpectedly?","0;1","0= No; 1= Yes",""
"ctes14_y","Integer","","Recommended","Has someone in your home ever been physically violent toward you, such as whipping, kicking, or hitting hard enough to leave marks?","0;1","0= No; 1= Yes",""
"ctes15_y","Integer","","Recommended","Has an adult ever said they were going to hurt you really badly or kill you, or acted like they were going to hurt you very badly or kill you, even if they didn't actually do it?","0;1","0= No; 1= Yes",""
"ctes16_y","Integer","","Recommended","Have you ever seen or heard family members act like they were going to kill or hurt each other badly, even if they didn't actually do it?","0;1","0= No; 1= Yes",""
"ctes17_y","Integer","","Recommended","Have you ever seen or heard a family member being hit, punched, kicked very hard, or killed?","0;1","0= No; 1= Yes",""
"ctes18_y","Integer","","Recommended","Have you ever seen someone in your neighborhood be beaten up, shot at, or killed?","0;1","0= No; 1= Yes",""
"ctes19_y","Integer","","Recommended","Has someone ever robbed or tried to rob (jump) you or your family with a weapon?","0;1","0= No; 1= Yes",""
"ctes20_y","Integer","","Recommended","Has someone ever kidnapped you (taken you away from your home when they shouldn't have) or has someone close to you ever been kidnapped?","0;1","0= No; 1= Yes",""
"ctes21_y","Integer","","Recommended","Have you ever been badly hurt by an animal, such as attacked by a dog?","0;1","0= No; 1= Yes",""
"ctes22_y","Integer","","Recommended","Have you ever had a pet or an animal that was hurt or killed on purpose by someone you knew?","0;1","0= No; 1= Yes",""
"ctes23_y","Integer","","Recommended","Have you ever seen a friend killed?","0;1","0= No; 1= Yes",""
"ctes24_y","Integer","","Recommended","Has someone ever touched your private sexual body parts when you did not want them to?","0;1","0= No; 1= Yes",""
"ctes25_y","Integer","","Recommended","Has someone ever made you touch his or her private sexual body parts?","0;1","0= No; 1= Yes",""
"ctes26_y","Integer","","Recommended","Has an adult ever tied you up, gagged you, blindfolded you, or locked you in a closet or a dark scary place?","0;1","0= No; 1= Yes",""
"ctes1_p","Integer","","Recommended","Was your child ever in a really bad accident, such as a serious car accident?","0;1","0= No; 1= Yes",""
"ctes2_p","Integer","","Recommended","Was your child ever in a disaster such as a tornado, hurricane, fire, big earthquake, or flood?","0;1","0= No; 1= Yes",""
"ctes3_p","Integer","","Recommended","Was your child ever so badly hurt or sick that they had to have painful or scary medical treatment?","0;1","0= No; 1= Yes",""
"ctes4_p","Integer","","Recommended","Has your child ever been threatened or really picked on by a bully (someone outside of their family)?","0;1","0= No; 1= Yes",""
"ctes5_p","Integer","","Recommended","Has your child ever repeatedly had a parent swear at them, insult them, or had hurtful things said to them such as ''You're no good,'' ''You will be sent away because you are bad,'' or ''I wish you were never born''?","0;1","0= No; 1= Yes",""
"ctes6_p","Integer","","Recommended","Was your child ever completely separated from their parent(s) for a long time, such as going to a foster home, the parent living far apart from them, or never seeing the parent again?","0;1","0= No; 1= Yes",""
"ctes7_p","Integer","","Recommended","Has your child ever had a family member who was put in jail or prison or taken away by the police?","0;1","0= No; 1= Yes",""
"ctes8_p","Integer","","Recommended","Has your child ever had a time in their life when they did not have the right care, such as not having enough to eat, being left in charge of your younger brothers or sisters for long periods of time, or being left with an adult who used drugs?","0;1","0= No; 1= Yes",""
"ctes9_p","Integer","","Recommended","Has your child ever had a time in their life where they were living in a car, living in a homeless shelter, living in a battered women's shelter, or living on the street?","0;1","0= No; 1= Yes",""
"ctes10_p","Integer","","Recommended","Has your child ever had someone living in their home who abused alcohol or used street drugs?","0;1","0= No; 1= Yes",""
"ctes11_p","Integer","","Recommended","Has your child ever seen someone in the home try to hurt or kill themselves, such as cutting themselves or taking too many pills or drugs?","0;1","0= No; 1= Yes",""
"ctes12_p","Integer","","Recommended","Has your child ever had a family member who was depressed or mentally ill for a long time?","0;1","0= No; 1= Yes",""
"ctes13_p","Integer","","Recommended","Has your child ever had a family member or someone else very close to them die unexpectedly?","0;1","0= No; 1= Yes",""
"ctes14_p","Integer","","Recommended","Has someone in your child's home ever been physically violent toward them, such as whipping, kicking, or hitting hard enough to leave marks?","0;1","0= No; 1= Yes",""
"ctes15_p","Integer","","Recommended","Has an adult ever said they were going to hurt your child really badly or kill them, or acted like they were going to hurt them very badly or kill them, even if they didn't actually do it?","0;1","0= No; 1= Yes",""
"ctes16_p","Integer","","Recommended","Has your child ever seen or heard family members act like they were going to kill or hurt each other badly, even if they don't actually do it?","0;1","0= No; 1= Yes",""
"ctes17_p","Integer","","Recommended","Has your child ever seen or heard a family member being hit, punched, kicked very hard, or killed?","0;1","0= No; 1= Yes",""
"ctes18_p","Integer","","Recommended","Has your child ever seen someone in their neighborhood be beaten up, shot at, or killed?","0;1","0= No; 1= Yes",""
"ctes19_p","Integer","","Recommended","Has someone ever robbed or tried to rob (jump) your child or your child's family with a weapon?","0;1","0= No; 1= Yes",""
"ctes20_p","Integer","","Recommended","Has someone ever kidnapped your child or has someone close to your child ever been kidnapped?","0;1","0= No; 1= Yes",""
"ctes21_p","Integer","","Recommended","Has your child ever been badly hurt by an animal, such as attacked by a dog?","0;1","0= No; 1= Yes",""
"ctes22_p","Integer","","Recommended","Has your child ever had a pet or an animal that was hurt or killed on purpose by someone they knew?","0;1","0= No; 1= Yes",""
"ctes23_p","Integer","","Recommended","Has your child ever seen a friend killed?","0;1","0= No; 1= Yes",""
"ctes24_p","Integer","","Recommended","Has someone ever touched your child's private sexual body parts when they did not want them to?","0;1","0= No; 1= Yes",""
"ctes25_p","Integer","","Recommended","Has someone ever made your child touch another person's private sexual body parts?","0;1","0= No; 1= Yes",""
"ctes26_p","Integer","","Recommended","Has an adult ever tied your child up, gagged them, blindfolded them, or locked them in a closet or a dark scary place?","0;1","0= No; 1= Yes",""
"need_lang","Integer","","Recommended","In what language did you collect the data?","1;2","1= English; 2= Spanish",""
