"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"smms01","Integer","","Recommended","Using social media is meaningful for me.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms02","Integer","","Recommended","Using social media is a waste of time for me.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms03","Integer","","Recommended","Using social media is fun and enjoyable for me.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms04","Integer","","Recommended","Using social media strengthens and supports my relationships.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms05","Integer","","Recommended","Using social media facilitates my learning and growth.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms06","Integer","","Recommended","Using social media lets me do what I want.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms07","Integer","","Recommended","Social media is a helpful tool that I use.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms08","Integer","","Recommended","I'm good at managing the ways I use social media.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms09","Integer","","Recommended","I'm in control of how I use social media.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms10","Integer","","Recommended","I end up using social media even when I don't mean to.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms11","Integer","","Recommended","I find it hard to resist the pull of social media.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
"smms12","Integer","","Recommended","I am often manipulated by social media.","1::5","1=Strongly Disagree; 2=Disagree; 3= Neither Agree nor Disagree; 4=Agree; 5=Strongly Agree",""
