"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","GUID,ndar_panas,z1"
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","","participant_id,record_id,subject_id,z2"
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","date,date10,date_ctq,lab_interview_date,v2_ctq_date,z3"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_panas,lab_interview_age,v2_ctq_age,z4"
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,gender_panas,z5"
"answer_type","Integer","","Recommended","","Answers about present moment or over the past week feelings.","1::6; 999","1= Momentary; 2= Weekly; 3= general; 4= over past month; 5= over the previous two weeks; 6= during the past week; 999=missing/unknown",""
"interested_q1","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Interested","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","interested,interested_q1_s1_1,interested_q1_s1_2,interested_q1_s1_3,interested_q1_s2_1,interested_q1_s2_2,interested_q1_s2_3,interested_q1_s2_4,panas00_1,panas1_1,panas1a_1,panas2_1,panas_1,panas_gen_interested,panas_inter,panas_now_interested,panas_q01,papo001,papr001"
"distressed_q2","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Distressed","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","distressed,distressed_q2_s1_1,distressed_q2_s1_2,distressed_q2_s1_3,distressed_q2_s2_1,distressed_q2_s2_2,distressed_q2_s2_3,distressed_q2_s2_4,panas00_2,panas1_2,panas1a_2,panas2_2,panas_2,panas_dist,panas_gen_distressed,panas_now_distressed,panas_q02,panasx50,papo002,papr002"
"excited_q3","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Excited","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","excited,excited_q3_s1_1,excited_q3_s1_2,excited_q3_s1_3,excited_q3_s2_1,excited_q3_s2_2,excited_q3_s2_3,excited_q3_s2_4,panas00_3,panas1_3,panas1a_3,panas2_3,panas_2,panas_2_tr1,panas_2_tr1_post,panas_2_tr2_post,panas_2_tr2_pre,panas_2_tr3_post,panas_2_tr3_pre,panas_3,panas_excit,panas_gen_excited,panas_now_excited,panas_q03,papo003,papr003"
"upset1_q4","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Upset","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas00_4,panas1_4,panas1a_4,panas2_4,panas_4,panas_gen_upset,panas_now_upset,panas_q04,panas_upset,papo004,papr004,upset1_q4_s1_1,upset1_q4_s1_2,upset1_q4_s1_3,upset1_q4_s2_1,upset1_q4_s2_2,upset1_q4_s2_3,upset1_q4_s2_4,upset3"
"strong_q5","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Strong","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas00_5,panas1_5,panas1a_5,panas2_5,panas_5,panas_gen_strong,panas_now_strong,panas_q05,panas_strong,papo005,papr005,strong,strong_q5_s1_1,strong_q5_s1_2,strong_q5_s1_3,strong_q5_s2_1,strong_q5_s2_2,strong_q5_s2_3,strong_q5_s2_4"
"guilty_q6","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Guilty","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","guilty,guilty_q6_s1_1,guilty_q6_s1_2,guilty_q6_s1_3,guilty_q6_s2_1,guilty_q6_s2_2,guilty_q6_s2_3,guilty_q6_s2_4,panas00_6,panas1_6,panas1a_6,panas2_6,panas_10,panas_6,panas_gen_guilty,panas_guil,panas_now_guilty,panas_q06,papo006,papr006"
"scared_q7","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Scared","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas00_7,panas1_7,panas1a_7,panas2_7,panas_7,panas_gen_scared,panas_now_scared,panas_q07,panas_scared,papo007,papr007,scared,scared_q7_s1_1,scared_q7_s1_2,scared_q7_s1_3,scared_q7_s2_1,scared_q7_s2_2,scared_q7_s2_3,scared_q7_s2_4"
"hostile_q8","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Hostile","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","hostile,hostile_q8_s1_1,hostile_q8_s1_2,hostile_q8_s1_3,hostile_q8_s2_1,hostile_q8_s2_2,hostile_q8_s2_3,hostile_q8_s2_4,panas00_8,panas1_8,panas1b_8,panas2_8,panas_8,panas_gen_hostile,panas_host,panas_now_hostile,panas_q08,papo008,papr008"
"enthusiastic_q9","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Enthusiastic","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","enthusiastic,enthusiastic_q9_s1_1,enthusiastic_q9_s1_2,enthusiastic_q9_s1_3,enthusiastic_q9_s2_1,enthusiastic_q9_s2_2,enthusiastic_q9_s2_3,enthusiastic_q9_s2_4,panas00_10,panas1_10,panas1b_9,panas2_10,panas_9,panas_enth,panas_gen_enthusiastic,panas_now_enthusiastic,panas_pals10,panas_q09,papo009,papr009"
"proud_q10","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Proud","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","panas00_11,panas1_11,panas1b_10,panas2_11,panas_10,panas_gen_proud,panas_now_proud,panas_proud,panas_q10,papo010,papr010,proud,proud_q10_s1_1,proud_q10_s1_2,proud_q10_s1_3,proud_q10_s2_1,proud_q10_s2_2,proud_q10_s2_3,proud_q10_s2_4"
"irritable_q11","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Irritable","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","irritable,irritable_q11_s1_1,irritable_q11_s1_2,irritable_q11_s1_3,irritable_q11_s2_1,irritable_q11_s2_2,irritable_q11_s2_3,irritable_q11_s2_4,panas00_12,panas1_12,panas1b_11,panas2_12,panas_11,panas_11_tr1,panas_11_tr1_post,panas_11_tr2_post,panas_11_tr2_pre,panas_11_tr3_post,panas_11_tr3_pre,panas_gen_irritable,panas_irrit,panas_now_irritable,panas_q11,papo011,papr011"
"alert_q12","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Alert","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","alert,alert_q12_s1_1,alert_q12_s1_2,alert_q12_s1_3,alert_q12_s2_1,alert_q12_s2_2,alert_q12_s2_3,alert_q12_s2_4,panas00_13,panas1_13,panas1b_12,panas2_13,panas_12,panas_alert,panas_gen_alert,panas_now_alert,panas_pals3,panas_q12,papo012,papr012"
"ashamed_q13","Integer","","Recommended","","Indicate to what extent you feel this way right now, at this, at the present moment or indicate the extent you have felt this way over the past week. Ashamed","1::5;-99;77;88","1= very slightly or not at all; 2= a little; 3= moderately; 4= quite a bit; 5= extremely; -99= N/A ; 77= Refused ; 88= Missing","ashamed,ashamed_q13_s1_1,ashamed_q13_s1_2,ashamed_q13_s1_3,ashamed_q13_s2_1,ashamed_q13_s2_2,ashamed_q13_s2_3,ashamed_q13_s2_4,panas00_14,panas1_14,panas1b_13,panas2_14,panas_13,panas_asham,panas_gen_ashamed,panas_now_ashamed,panas_q13,papo013,papr013"
