"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pfi_01","Integer","","Recommended","In the past month, did you avoid talking with family members or friends?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_02","Integer","","Recommended","In the past month, did you have to rely on others to make your decisions for you?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_03","Integer","","Recommended","In the past month, did your family or friends upset you?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_04","Integer","","Recommended","In the past month, did you have heated arguments with other people?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_05","Integer","","Recommended","In the past month, how often were you upset, angry, or disappointed with the way people did things?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_06","Integer","","Recommended","In the past month, did you feel your family or your friends did not trust you?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_07","Integer","","Recommended","In the past month, did you feel anxious or afraid when you were with other people?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_08","Integer","","Recommended","In the past month, did you demand that others do things your way?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_09","Integer","","Recommended","In the past month, did you do things that upset your family and friends?","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
"pfi_10","Integer","","Recommended","In the past month, did you do things when you were in public that other people did not like? (belching, spitting, wearing inappropriate clothing, etc.)","1::4","1= Almost daily; 2= At least once a week; 3= Less than once a week; 4= Not at all",""
