"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cuburden_i_1","Integer","","Recommended","I need assistance from another person to use the system.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_2","Integer","","Recommended","The system demands too much mental effort.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_3","Integer","","Recommended","It takes too long for me to do what I want to do with the system.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_4","Integer","","Recommended","The system has made me feel physical pain.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_5","Integer","","Recommended","Use of the system is too physically demanding.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_6","Integer","","Recommended","I used the system more often than I should.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_7","Integer","","Recommended","The system distracts me from social situations.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_8","Integer","","Recommended","Using the system has negative effect on my social life.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_9","Integer","","Recommended","The system requires me to remember too much information.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_10","Integer","","Recommended","Using the system makes me feel like a bad person.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_11","Integer","","Recommended","I feel guilty using the system.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_12","Integer","","Recommended","The system requires me to do a lot to maintain my privacy within it.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_13","Integer","","Recommended","The system is hard to learn.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_14","Integer","","Recommended","Using the system too much creates physical discomfort.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_15","Integer","","Recommended","I spend too much time using the system.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_16","Integer","","Recommended","I am worried about what information gets shared by the system.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_i_17","Integer","","Recommended","The system's policies about privacy are not trustworthy.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_1","Integer","","Recommended","I need assistance from another person to answer the survey questions.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_2","Integer","","Recommended","Answering the survey questions demands too much mental effort.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_3","Integer","","Recommended","It takes too long for me to answer the survey questions.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_4","Integer","","Recommended","Answering the survey questions has made me feel physical pain.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_5","Integer","","Recommended","Answering the survey questions is too physically demanding.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
"cuburden_c_6","Integer","","Recommended","Answering the survey questions distracts me from social situations.","0::4;-5;-9","0= Never; 1= A little bit of the time; 2= Sometimes; 3= Very often; 4= All of the time; -5= Non answered; -9= Not shown",""
