"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"out_there","Integer","","Recommended","I get back out there","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"accomplish_goals","Integer","","Recommended","I still work to accomplish my goals","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"push","Integer","","Recommended","I push through it","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"cont_working","Integer","","Recommended","I try to continue working","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"stay_active","Integer","","Recommended","I like to stay active","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"positive_thoughts","Integer","","Recommended","I focus on positive thoughts","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"postive_attitude","Integer","","Recommended","I keep a positive attitude","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"affect_happiness","Integer","","Recommended","It doesn't affect my happiness","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"joy","Integer","","Recommended","I still find joy in my life","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"hopeful","Integer","","Recommended","I keep a hopeful attitude","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"get_me_down","Integer","","Recommended","I don't let it get me down","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"upset_me","Integer","","Recommended","I don't let it upset me","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"negative_thoughtss","Integer","","Recommended","I avoid negative thoughts","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
"relaxed_me","Integer","","Recommended","I try to stay relaxed","0::4","0= Not at all; 1= To a slight degree; 2= To a moderate degree; 3= To a great degree; 4= All the time",""
