"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"seacs_01","Integer","","Recommended","There is not enough time in the day to get everything done","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_02","Integer","","Recommended","I often arrange events with other people","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_03","Integer","","Recommended","I make sure to eat breakfast every morning","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_04","Integer","","Recommended","I present myself in a way that makes a good impression on others","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_05","Integer","","Recommended","When I have personal problems, I usually talk to friends or acquaintances about them","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_06","Integer","","Recommended","When someone texts or emails me to say hello, I usually respond as soon as I can","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_07","Integer","","Recommended","It's important for me to exercise regularly","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_08","Integer","","Recommended","I make a lot of effort to connect with others","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_09","Integer","","Recommended","I compliment others when they have done something well","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_10","Integer","","Recommended","I regularly message people I know on social media (ie.g.. Facebook)","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_11","Integer","","Recommended","If I feel lonely, I find something to do with other people","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_12","Integer","","Recommended","I tend to ask other people how they are when I notice they're not feeling well","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_13","Integer","","Recommended","I like to share my emotions with others","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_14","Integer","","Recommended","I feel out of energy most of the time","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_15","Integer","","Recommended","I am often the one to call friends and/or family when I haven't spoken to them in a while","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
"seacs_16","Integer","","Recommended","I usually try to help other people when they are feeling down","1::6","1=Strongly Disagree; 2=Disagree; 3=Slightly Disagree; 4=Slightly Agree; 5=Agree; 6=Strongly Agree",""
