"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","","individual,record_id"
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","srs_date"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"respond","Integer","","Required","","Respondent","1::7;999","1 = Parent; 2 = Teacher; 3=Self; 4= Other; 5= Significant other; 6 = Parent 1; 7 = Parent 2; 999 = Not available",""
"respond_detail","Integer","","Required","","Respondent detail","1::8;999","1 = Mother; 2 = Father; 3 = Other relative or custodial adult; 4 = Teacher or caregiver; 5 = Other specialist; 6 = Other; 7 = Child; 8= Spouse; 999 = Not available",""
"respond_detail_oth_spec","String","255","Recommended","","Respondent details","","",""
"comments_misc","String","4000","Recommended","","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"srs_2005_male_tscore1","String","50","Recommended","","T-Score: Social Awareness","","","male_tscore1"
"srs_2005_male_tscore2","String","50","Recommended","","T-Score: Social Cognition","","","male_tscore2"
"srs_2005_male_tscore3","String","50","Recommended","","T-Score: Social Communitcation","","","male_tscore3"
"srs_2005_male_tscore4","String","50","Recommended","","T-Score: Social Motivation","","","male_tscore4"
"srs_2005_male_tscore5","String","50","Recommended","","T-Score: Autistic Mannerisms","","","male_tscore5"
"srs_2005_male_rawscoreall","String","50","Conditional","sex == 'm'","Total Raw Score","","","male_rawscoreall,male_total"
"srs_2005_male_tscoreall","String","50","Conditional","sex == 'm'","Total T-Score","","","male_tscoreall"
"srs_2005_female_tscore1","String","50","Recommended","","T-Score: Social Awareness","","",""
"srs_2005_female_tscore2","String","50","Recommended","","T-Score: Social Cognition","","",""
"srs_2005_female_tscore3","String","50","Recommended","","T-Score: Social Communitcation","","",""
"srs_2005_female_tscore4","String","50","Recommended","","T-Score: Social Motivation","","",""
"srs_2005_female_tscore5","String","50","Recommended","","T-Score: Autistic Mannerisms","","",""
"srs_2005_female_rawscoreall","String","50","Conditional","sex == 'f'","Total Raw Score","","","female_total"
"srs_2005_female_tscoreall","String","50","Conditional","sex == 'f'","Total T-Score","","",""
"srs_2005_adultresearch_1","Integer","","Recommended","","1. Seems much more uncomfortable in social situations than when alone","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q01_uncomfortable_social"
"srs_2005_adultresearch_2","Integer","","Recommended","","2. Expressions on his or her face don't match what he or she is saying","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q02_expressions_match"
"srs_2005_adultresearch_3","Integer","","Recommended","","3. Seems self-confident when interacting with others","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q03_self_confident"
"srs_2005_adultresearch_4","Integer","","Recommended","","""4. When under stress, he or she shows rigid or inflexible patterns of behavior that seem odd.""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","SRS_2005_AdultResearcht_4,q04_stress"
"srs_2005_adultresearch_5","Integer","","Recommended","","5. Doesn't recognize when others are trying to take advantage of him or her","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q05_taking_advantage"
"srs_2005_adultresearch_6","Integer","","Recommended","","6. Would rather be alone than with others","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q06_rather_alone"
"srs_2005_adultresearch_7","Integer","","Recommended","","7. Is aware of what others are thinking or feeling","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q07_aware"
"srs_2005_adultresearch_8","Integer","","Recommended","","8. Behaves in ways that seem strange or bizarre","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q08_behaves_bizarre"
"srs_2005_adultresearch_9","Integer","","Recommended","","9. Seems too dependent on other for help with meeting basic needs","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q09_dependent"
"srs_2005_adultresearch_10","Integer","","Recommended","","10. Takes things too literally and doesn't get the real meaning of a conversation","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q10_things_literally"
"srs_2005_adultresearch_11","Integer","","Recommended","","11. Has good self-confidence","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","SRS_2005_AdultResearcht_11,q11_self_confidence"
"srs_2005_adultresearch_12","Integer","","Recommended","","12. Is able to communicate his or her feelings to others","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q12_communicate_feelings"
"srs_2005_adultresearch_13","Integer","","Recommended","","""13. is awkward in turn-taking interactions with peers (e.g., doesn't seem to understand the give-and-take of conversations)""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q13_turn_taking"
"srs_2005_adultresearch_14","Integer","","Recommended","","14. Is not well coordinated","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q14_coordinated"
"srs_2005_adultresearch_15","Integer","","Recommended","","15. is able to understand the meaning of other people's tone of voice and facial expressions","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q15_responds_face_tone"
"srs_2005_adultresearch_16","Integer","","Recommended","","16. Avoids eye contact or has unusual eye contact","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q16_eye_contact"
"srs_2005_adultresearch_17","Integer","","Recommended","","17. Recognizes when something is unfair","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q17_recognizes_unfamiliar"
"srs_2005_adultresearch_18","Integer","","Recommended","","""18. Has difficulty making friends, even when trying his or her best""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q18_difficulty_friends"
"srs_2005_adultresearch_19","Integer","","Recommended","","19 Gets frustrated trying to get ideas across in conversations","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q19_frustrated_converstation"
"srs_2005_adultresearch_20","Integer","","Recommended","","""20. Shows unusual sensory interests (e.g., smelling her or her fingers frequently) or strange, repetitive ways of handling or manipulation small items within reach""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q20_sensory_interests"
"srs_2005_adultresearch_21","Integer","","Recommended","","21. Is able to imitate others' actions and demeanor when it is socially appropriate to do so","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q21_imitate"
"srs_2005_adultresearch_22","Integer","","Recommended","","22. Interacts appropriately with other adults","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q22_interacts_adults"
"srs_2005_adultresearch_23","Integer","","Recommended","","23 Does not join group activities or social events unless forced to do so","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q23_group_activities"
"srs_2005_adultresearch_24","Integer","","Recommended","","24. Has more difficulty than others with changes is his or her routine.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q24_difficulty_routine"
"srs_2005_adultresearch_25","Integer","","Recommended","","25. Doesn't seem to mind being out of step with or ""not on the same wavelength"" as others.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q25_not_same_wavelength"
"srs_2005_adultresearch_26","Integer","","Recommended","","26. Offers comfort to other when they are sad.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q26_comfort_others"
"srs_2005_adultresearch_27","Integer","","Recommended","","27. Avoids starting social interactions with peers or adults.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q27_avoids_adults"
"srs_2005_adultresearch_28","Integer","","Recommended","","28. Thinks or talks about the same thing over and over.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q28_talk_same_thing"
"srs_2005_adultresearch_29","Integer","","Recommended","","29. Is regarded by the others as odd or weird.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q29_regarded_weird"
"srs_2005_adultresearch_30","Integer","","Recommended","","30. Becomes upset in a situation with lots of things going on.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q30_upset_situation"
"srs_2005_adultresearch_31","Integer","","Recommended","","31. Can't get his or her mind off something once he or she starts thinking about it.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q31_get_mind_off"
"srs_2005_adultresearch_32","Integer","","Recommended","","32. Has good personal hygiene.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q32_hygiene"
"srs_2005_adultresearch_33","Integer","","Recommended","","""33. Is socially awkward, even when  trying to be polite  ""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q33_socially_awkward"
"srs_2005_adultresearch_34","Integer","","Recommended","","34. Avoids people who want to be emotionally close to him or her","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q34_avoids_close"
"srs_2005_adultresearch_35","Integer","","Recommended","","35. Has trouble keeping up with the flow of a normal conversation","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q35_trouble_conversation"
"srs_2005_adultresearch_36","Integer","","Recommended","","36. Has difficulty relating to family members","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q36_difficulty_family"
"srs_2005_adultresearch_37","Integer","","Recommended","","37. Has difficulty relating to other adults","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q37_difficulty_adults"
"srs_2005_adultresearch_38","Integer","","Recommended","","""38. Responds appropriately to mood changes in others (e.g., when a friend's mood changes from happy to sad)  ""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q38_responds_mood"
"srs_2005_adultresearch_39","Integer","","Recommended","","39. Has an unusually narrow range of interests","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q39_range_interests"
"srs_2005_adultresearch_40","Integer","","Recommended","","40. Is imaginative without losing touch with reality","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q40_imaginative"
"srs_2005_adultresearch_41","Integer","","Recommended","","41. Wanders aimlessly from one activity to another.","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q41_wanders_aimlessly"
"srs_2005_adultresearch_42","Integer","","Recommended","","""42. Seems overly sensitive to sounds, textures, or smells  ""","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q42_sensitve_to_sound"
"srs_2005_adultresearch_43","Integer","","Recommended","","43. Enjoys and is competent with small talk (casual conversation with others)","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q43_enjoys_small_talk"
"srs_2005_adultresearch_44","Integer","","Recommended","","44. Doesn't understand how events relate to one another (cause and effect) the way other adults do","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. POSITIVE CODED ITEM","q44_cause_effect"
"srs_2005_adultresearch_45","Integer","","Recommended","","45. Generally gets interested in what others nearby are paying attention to","1;2;3;4","1 = Not true; 2 = Sometimes true; 3 = Often true; 4 = Almost always true. REVERSE-SCORED ITEM","q45_interested_others_attention"
