"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sweet_urge","Integer","","Recommended","I often have an urge for something sweet to eat","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_1"
"sweet_crave","Integer","","Recommended","I often crave something sweet when I''m nervous or depressed","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_2"
"sweet_now","Integer","","Recommended","I would enjoy having something sweet to eat right now","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_3"
"sweet_less","Integer","","Recommended","Having something sweet to eat makes me feel less nervous or depressed","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_4"
"sweet_happy","Integer","","Recommended","Having something sweet to eat makes me feel happier","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_5"
"sweet_irritable","Integer","","Recommended","I am less irritable if I have something sweet to eat","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_6"
"sweet_control","Integer","","Recommended","I can easily control how much sweets I eat","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_7"
"sweet_problem","Integer","","Recommended","I have problems controlling how much sweet food I eat","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_8"
"sweet_guilty","Integer","","Recommended","I often feel guilty about how much sweets I eat","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_9"
"sweet_cutdown","Integer","","Recommended","I have tried to cut down on eating sweets","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_10"
"sweet_controlalc","Integer","","Recommended","I have used eating sweets to control how much alcohol I drink","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_11"
"sweet_reducealc","Integer","","Recommended","I have found that eating sweets reduces my desire to drink alcohol","1::7; 999","1= Strongly Disagree; 7= Strongly Agree; 999= No answer","stq_12"
