"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","candidateguid,guid,pseudo_guid,subject_key"
"src_subject_id","String","45","Required","","Subject ID how it's defined in lab/project","","","clinical_barcode,demo_study_id,ibisid,pid,subject_id"
"interview_first","Date","","Required","","Date of first treatment contact","","MM/DD/YYYY",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","assessment_dt,bl_visit_date,consented_study,date_demographics,date_interview_ses,date_taken,interviewdate,intvdate,visit_date"
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_m_consent,candidate_age_in_months,ch_age,demo_age,intvage"
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","ch_sex,demo_sex,gender,genderid,sex"
"info_source_pt","Integer","","Recommended","","Information from patient used in this report.","0;1","0= No; 1= Yes",""
"info_source_ff","Integer","","Recommended","","Information from family member/friend used in this report.","0;1","0= No; 1= Yes",""
"info_source_med","Integer","","Recommended","","Information from medical records used in this report.","0;1","0= No; 1= Yes",""
"info_source_hcp","Integer","","Recommended","","Information from health care provider used in this report.","0;1","0= No; 1= Yes",""
"info_source_other","Integer","","Recommended","","Information from other source used in this report.","0;1","0= No; 1= Yes",""
"info_source_other_spec","String","100","Conditional","info_source_other == 'Yes'","Please specify this other source.","","",""
"sos_dysph_freq","Integer","","Recommended","","Dysphoric mood frequency threshold (e.g., depression, anxiety, irritability, hostility, restlessness)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_dysph_date","Date","","Conditional","sos_dysph_freq >= 4","Date when dysphoric mood crossed frequency threshold","","MM/DD/YYYY",""
"sos_sleepdist_freq","Integer","","Recommended","","Sleep Disturbance frequency threshold (e.g., day night reversal, insomnia)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_sleepdist_date","Date","","Conditional","sos_sleepdist_freq >= 4","Date when sleep disturbance crossed frequency threshold","","MM/DD/YYYY",""
"sos_idearef_freq","Integer","","Recommended","","Ideas of reference frequency threshold (rate delusions of reference under positive symptoms)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_idearef_date","Date","","Conditional","sos_idearef_freq >= 2","Date when ideas of reference crossed frequency threshold","","MM/DD/YYYY",""
"sos_suspicious_freq","Integer","","Recommended","","Suspiciousness frequency threshold (e.g., excessive concern about motivations of others, distrustful)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_suspicious_date","Date","","Conditional","sos_suspicious_freq >= 3","Date when suspiciousness crossed frequency threshold","","MM/DD/YYYY",""
"sos_troublethink_freq","Integer","","Recommended","","Trouble with thinking frequency threshold (e.g., reduced concentration, attention, confusing, thought blocking)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_troublethink_date","Date","","Conditional","sos_troublethink_freq >= 3","Date when trouble with thinking crossed frequency threshold","","MM/DD/YYYY",""
"sos_perceptual_freq","Integer","","Recommended","","Perceptual abnormalities frequency threshold (e.g., illusions)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_perceptual_date","Date","","Conditional","sos_perceptual_freq >= 2","Date when perceptual abnormalities crossed frequency threshold","","MM/DD/YYYY",""
"sos_rolefunc_freq","Integer","","Recommended","","Deterioration in role functioning frequency threshold (e.g., deterioration in self care, school, social function)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_rolefunc_date","Date","","Conditional","sos_rolefunc_freq >= 4","Date when deterioration in role functioning crossed frequency threshold","","MM/DD/YYYY",""
"sos_other_yn","String","100","Recommended","","Other general symptoms to report (e.g., odd behaviors, obsessions)","No;Yes","E.g., odd behaviors, obsessions",""
"sos_other_spec","String","100","Conditional","sos_other_yn == 'Yes'","Other symptoms not outlined in above checklist","","Please describe.",""
"sos_other_freq","Integer","","Recommended","sos_other_yn == 'Yes'","Other symptoms frequency threshold","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_other_date","Date","","Conditional","sos_other_freq >= 4","Date when other symptoms crossed frequency threshold","","MM/DD/YYYY",""
"sos_socwithdraw_freq","Integer","","Recommended","","Social withdrawal frequency threshold (e.g., social isolation, preoccupation, daydreaming/interpersonal sensitivity)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_socwithdraw_date","Date","","Conditional","sos_socwithdraw_freq >= 3","Date when social withdrawal crossed frequency threshold","","MM/DD/YYYY",""
"sos_avolition_freq","Integer","","Recommended","","Avolition frequency threshold (e.g., impairment in the initiation and persistence of goal-directed activities/loss of drive)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_avolition_date","Date","","Conditional","sos_avolition_freq >= 4","Date when avolition crossed frequency threshold","","MM/DD/YYYY",""
"sos_emot_express_freq","Integer","","Recommended","","Decreased emotional expression frequency threshold (e.g., behaviors such as decreased facial expressions, monotone speech)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_emot_express_date","Date","","Conditional","sos_emot_express_freq >= 4","Date when decreased emotional expression crossed frequency threshold","","MM/DD/YYYY",""
"sos_emot_exper_freq","Integer","","Recommended","","Decreased experience of emotions frequency threshold (e.g., patient's report of reduced intensity of emotional experiences/feelings, boredom, loss of interest, apathy, anhedonia)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_emot_exper_date","Date","","Conditional","sos_emot_exper_freq >= 4","Date when decreased experience of emotions crossed frequency threshold","","MM/DD/YYYY",""
"sos_hallucinations_freq","Integer","","Recommended","","Hallucinations frequency threshold","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_hallucinations_date","Date","","Conditional","sos_hallucinations_freq >= 1","Date when hallucinations crossed frequency threshold","","MM/DD/YYYY",""
"sos_delusions_freq","Integer","","Recommended","","Delusions frequency threshold","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_delusion_date","Date","","Conditional","sos_delusions_freq >= 1","Date when delusions crossed frequency threshold","","MM/DD/YYYY",""
"sos_disorg_thought_freq","Integer","","Recommended","","Disorganized thought process frequency threshold (e.g., loose association, neologisms)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_disorg_thought_date","Date","","Conditional","sos_disorg_thought_freq >= 2","Date when disorganized thought process crossed frequency threshold","","MM/DD/YYYY",""
"sos_disorg_beh_freq","Integer","","Recommended","","Disorganized behavior frequency threshold (e.g., bizarre gesturing, posturing, catatonia)","0::4","0=Never; 1=Rare; 2=Sporadic; 3=Recurrent; 4=Continuous",""
"sos_disorg_beh_date","Date","","Conditional","sos_disorg_beh_freq >= 2","Date when disorganized behavior crossed frequency threshold","","MM/DD/YYYY",""
"sos_pt_est","Date","","Recommended","","Patient estimate of first signs of illness","","MM/DD/YYYY",""
"sos_fam_est","Date","","Recommended","","Family member estimate of first signs of illness","","MM/DD/YYYY",""
"sos_int_est","Date","","Recommended","","Interview estimate of first signs of illness","","MM/DD/YYYY",""
