"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pfc_scale1","Integer","","Recommended","How much do the people in your family understand you?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale2","Integer","","Recommended","How much do you and your family have fun together?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale3","Integer","","Recommended","How much does your family pay attention to you?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale4","Integer","","Recommended","How close are you to your mother?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale5","Integer","","Recommended","How close are you to your father?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale6","Integer","","Recommended","How much do you think your mother cares about you?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale7","Integer","","Recommended","How much do you think your father cares about you?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
"pfc_scale8","Integer","","Recommended","Most of the time, your mother is warm and loving towards you.","1::5; -99","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree; -99=Does not apply",""
"pfc_scale9","Integer","","Recommended","Most of the time, your father is warm and loving towards you.","1::5; -99","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree; -99=Does not apply",""
"pfc_scale10","Integer","","Recommended","Overall, you are pleased with your relationship with your mother.","1::5; -99","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree; -99=Does not apply",""
"pfc_scale11","Integer","","Recommended","Overall, you are pleased with your relationship with your father.","1::5; -99","1=Strongly disagree; 2=Disagree; 3=Neither agree nor disagree; 4=Agree; 5=Strongly agree; -99=Does not apply",""
"pfc_scale12","Integer","","Recommended","How much do people in your family care about you?","1::5; -99","1=Not at all; 2=Just a little; 3=Somewhat; 4=Quite a bit; 5=Very much; -99=Does not apply",""
