"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"dissrum_1","Integer","","Recommended","I never help those who do me wrong.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_2","Integer","","Recommended","I will always remember the injustices I have suffered.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_3","Integer","","Recommended","The more time that passes, the more satisfaction I get from revenge.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_4","Integer","","Recommended","It is easy for me to establish good relationships with people.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_5","Integer","","Recommended","It takes many years for me to get rid of a grudge.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_6","Integer","","Recommended","When somebody offends me, sooner or later I retaliate.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_7","Integer","","Recommended","I do not forgive easily once I am offended.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_8","Integer","","Recommended","I often bite my fingernails.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_9","Integer","","Recommended","I won't accept excuses for certain offenses.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_10","Integer","","Recommended","I hold a grudge, for a very long time, towards people who have offended me.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_11","Integer","","Recommended","I remain aloof towards people who annoy me, in spite of any excuses.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_12","Integer","","Recommended","I can remember very well the last time I was insulted.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_13","Integer","","Recommended","I am not upset by criticism.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_14","Integer","","Recommended","I enjoy people who like jokes.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_15","Integer","","Recommended","I still remember the offenses I have suffered, even after many years.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_16","Integer","","Recommended","If somebody harms me, I am not at peace until I can retaliate.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_17","Integer","","Recommended","When I am outraged, the more I think about it, the angrier I feel.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_18","Integer","","Recommended","I like people who are free.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_19","Integer","","Recommended","I am often sulky.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
"dissrum_20","Integer","","Recommended","Sometimes I can't sleep because of a wrong done to me.","0::5","0=Completely false for me; 1=Fairly false for me; 2=False to a certain extent; 3=True to a certain extent; 4=Fairly true for me; 5=Completely true for me",""
