"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"past_90_01","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Nicotine (cigarettes, e-cigarettes, cigars, smokeless tobacco, pipe tobacco)","0;1","0= No; 1= Yes",""
"past_90_02","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Alcohol (liquor, beer, wine)","0;1","0= No; 1= Yes",""
"past_90_03","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Cannabis products (marijuana, hashish, hash, THC, pot, grass, weed, reefer, spice, K2)","0;1","0= No; 1= Yes",""
"past_90_04","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Opioids (heroin, opium, morphine, methadone, fentanyl)","0;1","0= No; 1= Yes",""
"past_90_05","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Cocaine (snorting, IV, freebase, crack)","0;1","0= No; 1= Yes",""
"past_90_06","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Stimulants (amphetamines, methamphetamine, speed, crystal meth, crank, Dexedrine, methylphenidate, Ritalin, diet pills, bath salts, Adderall)","0;1","0= No; 1= Yes",""
"past_90_07","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Prescription pain relievers (codeine, OxyContin, Tylox, Percodan, Percocet, Demerol, Vicodin, Actiq, Duragesic, Sublimaze, Darvon, Darvocet, Lorcet, Lortab, Dilaudid)","0;1","0= No; 1= Yes",""
"past_90_08","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Hallucinogens (MDMA, MDA, ecstasy, LSD, acid, mescaline, peyote, psilocybin, STP, magic mushrooms, salvia)","0;1","0= No; 1= Yes",""
"past_90_09","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Dissociative anesthetics (PCP, angel dust, PeaCe Pill, Tranq, Hog, ketamine, Ketalar SV, Special K)","0;1","0= No; 1= Yes",""
"past_90_10","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Tranquilizers/Depressants (barbiturates, benzodiazepines, Ativan, Halcion, Valium, Xanax, Librium, Dalmane, Rohypnol, roofies, Roofinol, GHB, Quaalude, Seconal, reds, Miltown)","0;1","0= No; 1= Yes",""
"past_90_11","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Inhalants (glue sniffing, ethyl chloride, poppers, snappers, nitrous oxide, laughing gas, amyl nitrate, butyl nitrate, rush)","0;1","0= No; 1= Yes",""
"past_90_12","Integer","","Recommended","In the past 90 days, have you used any of the following substances more or for a longer time than you intended?: Other","0;1","0= No; 1= Yes",""
"past_90_13","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Nicotine (cigarettes, e-cigarettes, cigars, smokeless tobacco, pipe tobacco)","0;1","0= No; 1= Yes",""
"past_90_14","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Alcohol (liquor, beer, wine)","0;1","0= No; 1= Yes",""
"past_90_15","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Cannabis products (marijuana, hashish, hash, THC, pot, grass, weed, reefer, spice, K2)","0;1","0= No; 1= Yes",""
"past_90_16","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Opioids (heroin, opium, morphine, methadone, fentanyl)","0;1","0= No; 1= Yes",""
"past_90_17","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Cocaine (snorting, IV, freebase, crack)","0;1","0= No; 1= Yes",""
"past_90_18","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Stimulants (amphetamines, methamphetamine, speed, crystal meth, crank, Dexedrine, methylphenidate, Ritalin, diet pills, bath salts, Adderall)","0;1","0= No; 1= Yes",""
"past_90_19","Integer","","Recommended","In the past 90 days, have you repeatedly want to reduce or control your use of any of the following substances but failed?: Prescription pain relievers (codeine, OxyContin, Tylox, Percodan, Percocet, Demerol, Vicodin, Actiq, Duragesic, Sublimaze, Darvon, Darvocet, Lorcet, Lortab, Dilaudid)","0;1","0= No; 1= Yes",""
