"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rric1","Integer","","Recommended","How likely are you to use alcohol, even a little, while you are still pregnant?","1::5","1 = Not at all likely ; 5 = Very likely",""
"rric2","Integer","","Recommended","How confident are you that you could avoid alcohol completely for the rest of your pregnancy, if you really wanted to? If you already made a quit goal, how confident are you that you will be successful with your goal?","1::5","1 = Not confident at all ; 5 = Very confident",""
"rric3","Integer","","Recommended","When a pregnant woman drinks alcohol, how much could it hurt the baby?","1::5","1 = Not at all ; 5 = Very much",""
"rric4","Integer","","Recommended","How ready are you to quit drinking alcohol, completely for the rest of your pregnancy?","1::5","1 = Not ready at all ; 5 = Very ready",""
"rric5","Integer","","Recommended","How ready are you to quit drinking alcohol, completely and forever?","1::5","1 = Not ready at all ; 5 = Completely ready",""
"ready_6a","Integer","","Recommended","In general, how important is it that women quit drinking alcohol while they are pregnant?","0::100","0 = Not at all important; 100 = Very important","ready_6b"
"ready_1a","Integer","","Recommended","How likely are you to use alcohol, even a little, while you are still pregnant?","0::100","0 = Not at all likely; 100 = Very likely","ready_1b"
"ready_2a","Integer","","Recommended","How confident are you that you could avoid alcohol completely for the rest of your pregnancy, if you really wanted to? If you already decided not to drink, how confident are you that you can stick to this goal?","1001::1020","1001 = Not confident at all; 1020 = Very confident",""
"ready_2b","Integer","","Recommended","How confident are you that you could avoid alcohol completely for the rest of your pregnancy, if you really wanted to? If you already made a quit goal, how confident are you that you will be successful with your goal?","0::100","0 = Not confident at all; 100 = Very confident",""
"ready_3a","Integer","","Recommended","When a pregnant woman drinks alcohol, how much could it hurt the baby?","101::120","101 = Not at all; 120 = Very much",""
"ready_3b","Integer","","Recommended","When a pregnant woman drinks alcohol, how much could it hurt the baby?","0::100","0 = Not at all; 100 = Very much",""
"ready_4a","Integer","","Recommended","How ready are you to quit drinking alcohol, completely for the rest of your pregnancy?","0::100","0 = Not ready at all; 100 = Very ready","ready_4b"
"ready_5a","Integer","","Recommended","How ready are you to quit drinking alcohol, completely and forever?","0::100","0 = Not ready at all; 100 = Completely ready","ready_5b"
