"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"asc_1","Integer","","Recommended","While it was happening, it was really shocking, awful, or horrible.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_2","Integer","","Recommended","While it was happening, I wanted to make it stop, but I couldn't.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_3","Integer","","Recommended","While it was happening, I felt really scared.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_4","Integer","","Recommended","While it was happening, I thought I might die.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_5","Integer","","Recommended","While it was happening (OR after), I didn't have any feelings  - I couldn't feel upset, sad, or glad.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_6","Integer","","Recommended","While it was happening (OR after), things seemed unreal to me  - as if I was in a dream or watching a movie.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_7","Integer","","Recommended","While it was happening (OR after), I felt in a daze  - like I didn't know what was going on.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_8","Integer","","Recommended","While it was happening (OR after), I felt different & far away from other people, even if people were with me.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_9","Integer","","Recommended","Now, I can't remember some important parts of what happened.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_10","Integer","","Recommended","Now, pictures or sounds from what happened keep popping into my mind.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_11","Integer","","Recommended","Now, I can't stop thinking about it.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_12","Integer","","Recommended","Now, at times, it seems like it is happening all over again.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_13","Integer","","Recommended","Now, when something reminds me of what happened, I feel very upset.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_14","Integer","","Recommended","Now, since this happened, I've had more bad dreams.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_15","Integer","","Recommended","Now, I try not to think about what happened.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_16","Integer","","Recommended","Now, I try not to talk about it.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_17","Integer","","Recommended","Now, I want to stay away from things that remind me of what happened.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_18","Integer","","Recommended","Now, I try to stop my feelings about it.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_19","Integer","","Recommended","Now, it's hard for me to fall asleep or stay asleep.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_20","Integer","","Recommended","Now, since this happened, I get angry or bothered more easily.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_21","Integer","","Recommended","Now, I have a harder time concentrating or paying attention.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_22","Integer","","Recommended","Now, I feel scared that something bad might happen.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_23","Integer","","Recommended","Now, a sudden noise really makes me jump.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_24","Integer","","Recommended","Choose the words that are true for you: My thoughts or feelings about what happened","0::2","0= Don't bother me at all; 1= Bother me a little; 2= Bother me a lot",""
"asc_25","Integer","","Recommended","Choose the words that are true for you: Since this happened, getting along with friends or family  is","0::2","0= Easier for me; 1= The same as before; 2= Harder for me",""
"asc_26","Integer","","Recommended","Now, I'm having trouble getting back to doing normal things (activities, school, sports).","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_27","Integer","","Recommended","Now, my parents or other family members have been really upset (sad, scared, or angry) since this happened.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_28","Integer","","Recommended","Now, I have people (my parents, family, or friends) who really understand how I feel.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
"asc_29","Integer","","Recommended","Now, if I get sad or upset, I have a way to help myself feel better.","0::2","0= Never/Not true; 1=  Sometimes/Somewhat; 2= Often/Very true",""
