"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"im4_ao01","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans have stronger work ethics.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao02","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans are harder workers.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao03","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Despite experiences with racism, Asians/Asian Americans are more likely to achieve academic and economic success.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao04","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans are more motivated to be successful.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao05","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans generally have higher grade point averages (i.e., GPA) in school because academic success is more important.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao06","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans get better grades in school because they study harder.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao07","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans generally perform better on standardized exams (e.g., SAT) because of their values in academic achievement.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao08","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans make more money because they work harder.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao09","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans are more likely to be good at math and science.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_ao10","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asians/Asian Americans are more likely to persist through tough situations.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_um01","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asian Americans are less likely to face barriers at work.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_um02","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asian Americans are less likely to encounter racial prejudice and discrimination.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_um03","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asian Americans are less likely to experience racism in the United States.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_um04","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): Asian Americans are more likely to be treated as equals to European Americans.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
"im4_um05","Integer","","Recommended","In comparison to other racial minorities (e.g., African American, Hispanics, Native Americans): It is easier to Asian Americans to climb the corporate ladder.","1::7","1= Strongly disagree; 2= Somewhat disagree; 3= Slightly disagree; 4= Neither agree nor disagree; 5= Slightly agree; 6= Somewhat agree; 7= Strongly agree",""
