"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"hif_1","Integer","","Recommended","In the past 3 months - I was happy very often","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_2","Integer","","Recommended","In the past 3 months - When I felt sad, my sad feelings were very strong","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_3","Integer","","Recommended","In the past 3 months - I was in control of how often I felt mad","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_4","Integer","","Recommended","In the past 3 months - I was excited almost all of the time","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_5","Integer","","Recommended","In the past 3 months - When I felt scared, my scared feelings were very powerful","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_6","Integer","","Recommended","In the past 3 months - When I felt happy, I could control or change how happy I felt","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_7","Integer","","Recommended","In the past 3 months - I was sad very often","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_8","Integer","","Recommended","In the past 3 months - When I felt mad, my mad feelings were very strong","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_9","Integer","","Recommended","In the past 3 months - I was in control of how often I felt excited","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
"hif_10","Integer","","Recommended","In the past 3 months - I was scared almost all the time","1::4","1=Not at all true for me; 2=A little true for me; 3=Somewhat true for me; 4=Very true for me",""
