"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"agonistic_q1","Integer","","Recommended","I have fantasized about dominating someone sexually","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q2","Integer","","Recommended","I have had sexual thoughts about tying my partner to a bed, legs and arms spread apart","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q3","Integer","","Recommended","Making someone do what I want turns me on sexually","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q4","Integer","","Recommended","I thought about threatening or frightening someone","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q5","Integer","","Recommended","It turns me on to think about overpowering someone sexually","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q6","Integer","","Recommended","While having sex, I have used handcuffs, whips, or leathers","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q7","Integer","","Recommended","I have tied someone up while we were having sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q8","Integer","","Recommended","I have thought about choking someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q9","Integer","","Recommended","I have humiliated others to keep them in line","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q10","Integer","","Recommended","I have thought about forcing someone to have sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
"agonistic_q11","Integer","","Recommended","I have daydreamed about how good it would feel to hurt someone during sex","0::4; -99; -88","0=Never; 1=Once; 2=Sometimes; 3=Fairly often; 4=Very often; -99=Missing; -88=Don't know",""
