"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ycom01","Integer","","Recommended","Everyone who works hard, no matter what race they are, has an equal chance to become rich.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom02","Integer","","Recommended","Race plays a major role in the type of social services (such as type of health care or day care) that people receive in the U.S.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom03","Integer","","Recommended","It is important that people begin to think of themselves as American and not African American, Mexican American or Italian American.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom07","Integer","","Recommended","Racism may have been a problem in the past, but it is not an important problem today.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom08","Integer","","Recommended","Racial and ethnic minorities do not have the same opportunities as White people in the U.S.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom09","Integer","","Recommended","White people in the U.S. are discriminated against because of the color of their skin.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom10","Integer","","Recommended","Talking about racial issues causes unnecessary tension.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom12","Integer","","Recommended","White people in the U.S. have certain advantages because of the color of their skin.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom13","Integer","","Recommended","Immigrants should try to fit into the culture and adopt the values of the U.S.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom14","Integer","","Recommended","English should be the only official language in the U.S.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom15","Integer","","Recommended","White people are more to blame for racial discrimination in the U.S. than racial and ethnic minorities.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom16","Integer","","Recommended","Social policies, such as affirmative action, discriminate unfairly against white people.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom17","Integer","","Recommended","It is important for public schools to teach about the history and contributions of racial and ethnic minorities.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom18","Integer","","Recommended","Racial and ethnic minorities in the U.S. have certain advantages because of the color of their skin.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom19","Integer","","Recommended","Racial problems in the U.S. are rare, isolated situations.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom20","Integer","","Recommended","Race plays an important role in who gets sent to prison.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom04","Integer","","Recommended","Due to racial discrimination, programs such as affirmative action are necessary to help create equality.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom05","Integer","","Recommended","Racism is a major problem in the U.S.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom06","Integer","","Recommended","Race is very important in determining who is successful and who is not.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
"ycom11","Integer","","Recommended","It is important for political leaders to talk about racism to help work through or solve society's problems.","1::6;-99","1= Strongly disagree; 6= Strongly agree; -99= NA/RF",""
