"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"marianismo_beliefs_scale_1","Integer","","Recommended","A source of strength for her family.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_2","Integer","","Recommended","Considered the main source of strength of her family.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_3","Integer","","Recommended","Keep the family unified.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_4","Integer","","Recommended","Teach their children to be loyal to the family.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_5","Integer","","Recommended","Do things that make my family happy.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_6","Integer","","Recommended","Remain(ed) a virgin until marriage.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_7","Integer","","Recommended","Wait until after marriage to have children.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_8","Integer","","Recommended","Be pure.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_9","Integer","","Recommended","Adopt the values taught by her religion.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_10","Integer","","Recommended","Be faithful to her partner.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_11","Integer","","Recommended","Satisfy her partner's sexual needs without argument.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_12","Integer","","Recommended","Not speak out against men.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_13","Integer","","Recommended","Respect men's opinions even when she does not agree.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_14","Integer","","Recommended","Avoid saying no to people.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_15","Integer","","Recommended","Do anything a male in the family asks her to do.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_16","Integer","","Recommended","Not discuss birth control.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_17","Integer","","Recommended","Not express her needs to her partner.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_18","Integer","","Recommended","Feel guilty about telling people what she needs.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_19","Integer","","Recommended","Not talk about sex.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_20","Integer","","Recommended","Be forgiving in all aspects.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_21","Integer","","Recommended","Always be agreeable to men's decisions.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_22","Integer","","Recommended","The spiritual leader of the family.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_23","Integer","","Recommended","Responsible for taking family to religious services.","1::4","1=Strongly disagree; 4=Strongly agree",""
"marianismo_beliefs_scale_24","Integer","","Recommended","Responsible for the spiritual growth of the family.","1::4","1=Strongly disagree; 4=Strongly agree",""
