"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"adher_wk2_par","Integer","","Recommended","Week 2: During the past week, in what percentage of your interactions with your child did you use the skills you have learned so far","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk2_ther1","Integer","","Recommended","Week 2: During the past week, what percentage of the parent's homework assignments were completed?","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk2_ther2","Integer","","Recommended","Week 2: What is the quality of parent adherence to treatment (e.g. are prompts specific, is praise immediate, enthusiastic and contingent)","0 :: 4","0 = No adherence/mastery; 1 = Little adherence/mastery; 2 = Some adherence/mastery; 3 = Moderate adherence/mastery; 4 = Perfect adherence/mastery",""
"adher_wk3_par","Integer","","Recommended","Week 3: During the past week, in what percentage of your interactions with your child did you use the skills you have learned so far","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk3_ther1","Integer","","Recommended","Week 3: During the past week, what percentage of the parent's homework assignments were completed?","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk3_ther2","Integer","","Recommended","Week 3: What is the quality of parent adherence to treatment (e.g. are prompts specific, is praise immediate, enthusiastic and contingent)","0 :: 4","0 = No adherence/mastery; 1 = Little adherence/mastery; 2 = Some adherence/mastery; 3 = Moderate adherence/mastery; 4 = Perfect adherence/mastery",""
"adher_wk4_par","Integer","","Recommended","Week 4: During the past week, in what percentage of your interactions with your child did you use the skills you have learned so far","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk4_ther1","Integer","","Recommended","Week 4: During the past week, what percentage of the parent's homework assignments were completed?","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
"adher_wk4_ther2","Integer","","Recommended","Week 4: What is the quality of parent adherence to treatment (e.g. are prompts specific, is praise immediate, enthusiastic and contingent)","0 :: 4","0 = No adherence/mastery; 1 = Little adherence/mastery; 2 = Some adherence/mastery; 3 = Moderate adherence/mastery; 4 = Perfect adherence/mastery",""
"adher_wk5_par","Integer","","Recommended","Week 5: During the past week, in what percentage of your interactions with your child did you use the skills you have learned so far","0 :: 4","0 = 0%; 1 = 25%; 2 = 50%; 3 = 75%; 4 = 100%",""
