"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"worry1_01","Integer","","Recommended","When my child is in pain, I worry all the time about whether the pain will end.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"go_on2","Integer","","Recommended","When my child is in pain, I feel I can't go on like this much longer.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"better3","Integer","","Recommended","When my child is in pain, it's terrible and I think it's never going to get better.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"overwhel4","Integer","","Recommended","When my child is in pain, it's awful and I feel that it overwhelms me.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"stand5","Integer","","Recommended","When my child is in pain, I can't stand it anymore.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"afraid6","Integer","","Recommended","When my child is in pain, I become afraid that the pain will get worse.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"event7","Integer","","Recommended","When my child is in pain, I keep thinking of other painful events.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"away8","Integer","","Recommended","When my child is in pain, I want the pain to go away.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"mind9","Integer","","Recommended","When my child is in pain, I can't keep it out of my mind.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"suffer10","Integer","","Recommended","When my child is in pain, I keep thinking about how much he/she is suffering.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"stop11","Integer","","Recommended","When my child is in pain, I keep thinking about how much I want the pain to stop.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"nothing12","Integer","","Recommended","When my child is in pain, there is nothing I can do to stop the pain.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
"serious13","Integer","","Recommended","When my child is in pain, I wonder whether something serious may happen.","1::5","1= Not at all; 2= Mildly; 3= Moderately; 4= Severely; 5= Extremely",""
