"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pageq_1","Integer","","Recommended","I like the amount of physical activity I get in this program.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_2","Integer","","Recommended","This physical activity group provides me with a good opportunity to improve in areas of fitness I consider important.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_3","Integer","","Recommended","I am happy with the intensity of the physical activity in this program.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_4","Integer","","Recommended","I like the program of physical activities done in this group.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_5","Integer","","Recommended","I enjoy new exercises done in this physical activity group.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_6","Integer","","Recommended","This physical activity group provides me with good opportunities to improve my personal fitness","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_7","Integer","","Recommended","This physical activity group is an important social unit for me.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_8","Integer","","Recommended","I enjoy my social interactions within this physical activity group.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_9","Integer","","Recommended","I like meeting the people who come to this physical activity group.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_10","Integer","","Recommended","If this program was to end, I would miss my contact with the other participants.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_11","Integer","","Recommended","In terms of the social experiences in my life, this physical activity group is very important.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_12","Integer","","Recommended","The social interactions I have in this physical activity group are important to me.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_13","Integer","","Recommended","Our group is united in its beliefs about the benefits of the physical activities offered in this program.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_14","Integer","","Recommended","Our group is in agreement about the program of physical activities that should be offered.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_15","Integer","","Recommended","Members of our group are satisfied with the intensity of physical activity in this program","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_16","Integer","","Recommended","Members of our group enjoy helping if work needs to be done to prepare for the activity sessions.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_17","Integer","","Recommended","We encourage each other in order to get the most out of the program.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_18","Integer","","Recommended","Members of our physical activity group often socialize during exercise time.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_19","Integer","","Recommended","Members of our physical activity group would likely spend time together if the program were to end.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_20","Integer","","Recommended","Members of our group sometimes socialize together outside of activity time.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
"pageq_21","Integer","","Recommended","We spend time socializing with each other before and after our activity sessions.","1::9;99","1 = Very strongly disagree, 5 = Neither agree nor disagree, 9 = Very strongly agree; 99 = not answered/not in group",""
