"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"spoken_comm","Integer","","Recommended","Spoken language","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"sign_comm","Integer","","Recommended","Sign language","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"pics_comm","Integer","","Recommended","Picture, book, or board communication system (e.g., PECS, PODS)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"device_comm","Integer","","Recommended","An electronic communication device (e.g., iPad, Dynavox, Tobii)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"comm_complexity","Integer","","Recommended","When your child communicates, how many words/signs/pictures does your child put together or combine to create a message?","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_yes_no","Integer","","Recommended","Indicates ''yes'' or ''no''","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_naming","Integer","","Recommended","Uses names of objects","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_request","Integer","","Recommended","Requests or asks for things","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_comment","Integer","","Recommended","Makes comments (e.g., ''Look! Dog!'')","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_demand","Integer","","Recommended","Tells others what to do","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_why","Integer","","Recommended","Asks ''why'' questions","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_past","Integer","","Recommended","Tells you about an event that happened in the past","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_converse","Integer","","Recommended","Has conversations (e.g., able to maintain back and forth conversation, does not cut others off)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"exp_comm_pronounce","Integer","","Recommended","Pronounces words correctly","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"recept_yesno","Integer","","Recommended","Understands when told ''Yes'' or ''No''","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"recept_onestep","Integer","","Recommended","Understands one-step directions (e.g., ''Go get your shoes'')","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"recept_name","Integer","","Recommended","Responds when name is called","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"recept_twostep","Integer","","Recommended","Understands two-step directions (e.g., ''Put the toy away, then go get your shoes.'')","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"recept_ifthen","Integer","","Recommended","Understands if-then directions (e.g., ''If you eat the broccoli, then you can have a cookie.'')","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_comm_request","Integer","","Recommended","Is able to point to indicate what he or she wants","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_comm_ija","Integer","","Recommended","Points to share interest when not requesting (e.g., shows you an airplane in the sky)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_comm_gestures","Integer","","Recommended","Gestures (e.g., nods for yes, waves goodbye)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_eyecontact","Integer","","Recommended","Makes appropriate eye context (e.g., looks at you when making a request but does not look too long or make people uncomfortable)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_facial_exp","Integer","","Recommended","Uses facial expressions to show how he or she is feeling (e.g., smiles when happy, frowns when sad)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"nv_multiple","Integer","","Recommended","Combines eye contact, gestures, and facial expressions appropriately when speaking (e.g., sharing information using both speech and body language to communicate with the listener)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_getsattent","Integer","","Recommended","Appropriately gets someone's attention to start or end an interaction (e.g., calls name, taps shoulder, or makes eye contact before speaking","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_personalspace","Integer","","Recommended","Understands personal space","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_children","Integer","","Recommended","Seems interested in interacting with children he/she knows","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_greetings","Integer","","Recommended","Responds appropriately to greetings from children he/she knows","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_playhelp","Integer","","Recommended","Plays with a classmate (or other familiar child) with help from an adult","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_playnohelp","Integer","","Recommended","Plays with a classmate (or other familiar child) without help from an adult","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_groupplay","Integer","","Recommended","Plays in a group of familiar children without help from an adult","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_imitate","Integer","","Recommended","Imitates or copies others as a means of learning","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
"social_games","Integer","","Recommended","Plays simple social games (e.g., peek-a-boo, tag, hide-and-seek)","0::4","0= Never; 1= Rarely; 2= Sometimes; 3= Often; 4= Always",""
