"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ecsa_a01","Integer","","Recommended","(Compared to other children) Seems sad, cries a lot","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b01","Integer","","Recommended","(Concern and want help) Seems sad, cries a lot","0;1","0= No; 1= Yes (plus)",""
"ecsa_a02","Integer","","Recommended","(Compared to other children) Is difficult to comfort when hurt or distressed","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b02","Integer","","Recommended","(Concern and want help) Is difficult to comfort when hurt or distressed","0;1","0= No; 1= Yes (plus)",""
"ecsa_a03","Integer","","Recommended","(Compared to other children) Loses temper too much","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b03","Integer","","Recommended","(Concern and want help) Loses temper too much","0;1","0= No; 1= Yes (plus)",""
"ecsa_a04","Integer","","Recommended","(Compared to other children) Avoids situations that remind of scary events","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b04","Integer","","Recommended","(Concern and want help) Avoids situations that remind of scary events","0;1","0= No; 1= Yes (plus)",""
"ecsa_a05","Integer","","Recommended","(Compared to other children) Is easily distracted","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b05","Integer","","Recommended","(Concern and want help) Is easily distracted","0;1","0= No; 1= Yes (plus)",""
"ecsa_a06","Integer","","Recommended","(Compared to other children) Hurts others on purpose (biting, hitting, kicking)","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b06","Integer","","Recommended","(Concern and want help) Hurts others on purpose (biting, hitting, kicking)","0;1","0= No; 1= Yes (plus)",""
"ecsa_a07","Integer","","Recommended","(Compared to other children) Does not seem to listen to adults talking to him/her","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b07","Integer","","Recommended","(Concern and want help) Does not seem to listen to adults talking to him/her","0;1","0= No; 1= Yes (plus)",""
"ecsa_a08","Integer","","Recommended","(Compared to other children) Battles over food and eating","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b08","Integer","","Recommended","(Concern and want help) Battles over food and eating","0;1","0= No; 1= Yes (plus)",""
"ecsa_a09","Integer","","Recommended","(Compared to other children) Is irritable, easily annoyed","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b09","Integer","","Recommended","(Concern and want help) Is irritable, easily annoyed","0;1","0= No; 1= Yes (plus)",""
"ecsa_a10","Integer","","Recommended","(Compared to other children) Argues with adults","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b10","Integer","","Recommended","(Concern and want help) Argues with adults","0;1","0= No; 1= Yes (plus)",""
"ecsa_a11","Integer","","Recommended","(Compared to other children) Breaks things during tantrums","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b11","Integer","","Recommended","(Concern and want help) Breaks things during tantrums","0;1","0= No; 1= Yes (plus)",""
"ecsa_a12","Integer","","Recommended","(Compared to other children) Is easily startled or scared","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b12","Integer","","Recommended","(Concern and want help) Is easily startled or scared","0;1","0= No; 1= Yes (plus)",""
"ecsa_a13","Integer","","Recommended","(Compared to other children) Tries to annoy people","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b13","Integer","","Recommended","(Concern and want help) Tries to annoy people","0;1","0= No; 1= Yes (plus)",""
"ecsa_a14","Integer","","Recommended","(Compared to other children) Has trouble interacting with other children","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b14","Integer","","Recommended","(Concern and want help) Has trouble interacting with other children","0;1","0= No; 1= Yes (plus)",""
"ecsa_a15","Integer","","Recommended","(Compared to other children) Fidgets, cannot sit quietly","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b15","Integer","","Recommended","(Concern and want help) Fidgets, cannot sit quietly","0;1","0= No; 1= Yes (plus)",""
"ecsa_a16","Integer","","Recommended","(Compared to other children) Is clingy, does not want to separate from parent","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b16","Integer","","Recommended","(Concern and want help) Is clingy, does not want to separate from parent","0;1","0= No; 1= Yes (plus)",""
"ecsa_a17","Integer","","Recommended","(Compared to other children) Is very scared of certain things (needles, insects)","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b17","Integer","","Recommended","(Concern and want help) Is very scared of certain things (needles, insects)","0;1","0= No; 1= Yes (plus)",""
"ecsa_a18","Integer","","Recommended","(Compared to other children) Seems nervous or worries a lot","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b18","Integer","","Recommended","(Concern and want help) Seems nervous or worries a lot","0;1","0= No; 1= Yes (plus)",""
"ecsa_a19","Integer","","Recommended","(Compared to other children) Blames other people for mistakes","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b19","Integer","","Recommended","(Concern and want help) Blames other people for mistakes","0;1","0= No; 1= Yes (plus)",""
"ecsa_a20","Integer","","Recommended","(Compared to other children) Sometimes freezes or looks very still when scared","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b20","Integer","","Recommended","(Concern and want help) Sometimes freezes or looks very still when scared","0;1","0= No; 1= Yes (plus)",""
"ecsa_a21","Integer","","Recommended","(Compared to other children) Avoids foods that have specific feelings or tastes","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b21","Integer","","Recommended","(Concern and want help) Avoids foods that have specific feelings or tastes","0;1","0= No; 1= Yes (plus)",""
"ecsa_a22","Integer","","Recommended","(Compared to other children) Is too interested in sexual play or body parts","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b22","Integer","","Recommended","(Concern and want help) Is too interested in sexual play or body parts","0;1","0= No; 1= Yes (plus)",""
"ecsa_a23","Integer","","Recommended","(Compared to other children) Runs around in settings when should sit still (school, worship)","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b23","Integer","","Recommended","(Concern and want help) Runs around in settings when should sit still (school, worship)","0;1","0= No; 1= Yes (plus)",""
"ecsa_a24","Integer","","Recommended","(Compared to other children) Has a hard time paying attention to tasks or activities","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b24","Integer","","Recommended","(Concern and want help) Has a hard time paying attention to tasks or activities","0;1","0= No; 1= Yes (plus)",""
"ecsa_a25","Integer","","Recommended","(Compared to other children) Interrupts frequently","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b25","Integer","","Recommended","(Concern and want help) Interrupts frequently","0;1","0= No; 1= Yes (plus)",""
"ecsa_a26","Integer","","Recommended","(Compared to other children) Is always on the go","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b26","Integer","","Recommended","(Concern and want help) Is always on the go","0;1","0= No; 1= Yes (plus)",""
"ecsa_a27","Integer","","Recommended","(Compared to other children) Reacts too emotionally to small things","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b27","Integer","","Recommended","(Concern and want help) Reacts too emotionally to small things","0;1","0= No; 1= Yes (plus)",""
"ecsa_a28","Integer","","Recommended","(Compared to other children) Is very disobedient","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b28","Integer","","Recommended","(Concern and want help) Is very disobedient","0;1","0= No; 1= Yes (plus)",""
"ecsa_a29","Integer","","Recommended","(Compared to other children) Has more picky eating than usual","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b29","Integer","","Recommended","(Concern and want help) Has more picky eating than usual","0;1","0= No; 1= Yes (plus)",""
"ecsa_a30","Integer","","Recommended","(Compared to other children) Has unusual repetitive behaviors (rocking, flapping)","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b30","Integer","","Recommended","(Concern and want help) Has unusual repetitive behaviors (rocking, flapping)","0;1","0= No; 1= Yes (plus)",""
"ecsa_a31","Integer","","Recommended","(Compared to other children) Might wander off if not supervised","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b31","Integer","","Recommended","(Concern and want help) Might wander off if not supervised","0;1","0= No; 1= Yes (plus)",""
"ecsa_a32","Integer","","Recommended","(Compared to other children) Has a hard time falling asleep or staying asleep","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b32","Integer","","Recommended","(Concern and want help) Has a hard time falling asleep or staying asleep","0;1","0= No; 1= Yes (plus)",""
"ecsa_a33","Integer","","Recommended","(Compared to other children) Does not seem to have much fun","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b33","Integer","","Recommended","(Concern and want help) Does not seem to have much fun","0;1","0= No; 1= Yes (plus)",""
"ecsa_a34","Integer","","Recommended","(Compared to other children) Is too friendly with strangers","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
"ecsa_b34","Integer","","Recommended","(Concern and want help) Is too friendly with strangers","0;1","0= No; 1= Yes (plus)",""
"ecsa_a35","Integer","","Recommended","(Compared to other children) Has more trouble talking or learning to talk than other children","0 :: 2","0= Rarely, Not True; 1= Sometimes, Sort of; 2= Almost Always, Very True",""
