"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"kecs_1","Integer","","Recommended","The person who initiates sexual activity is responsible for getting consent for the other person.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_2","Integer","","Recommended","Consent must be given for each step in a sexual encounter.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_3","Integer","","Recommended","If someone initiates sex, but during foreplay says they no longer want to, they have not given consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_4","Integer","","Recommended","If someone doesn't verbally say no to sex, they have given consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_5","Integer","","Recommended","If someone doesn't physically resist sex, they have given consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_6","Integer","","Recommended","Consent for oral sex is consent for vaginal sex.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_7","Integer","","Recommended","If someone undresses or allows a man to undress her, she is giving consent for sex.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_8","Integer","","Recommended","Consent for sex one time in consent for future sex.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_9","Integer","","Recommended","If you and your sexual partner are both drunk, you don't have to worry about consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_10","Integer","","Recommended","Regardless of the circumstances, if someone has sex with another person, they have given consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_11","Integer","","Recommended","Mixed signals can sometimes mean consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_12","Integer","","Recommended","Telling someone that you love them to get sex is no big deal.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_13","Integer","","Recommended","Someone who goes into someone else's bedroom is giving consent for sex.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
"kecs_14","Integer","","Recommended","If you are in a steady relationship, you still have to get consent.","1::7","1=Strongly disagree; 2=Disagree; 3=Somewhat disagree; 4=Neutral; 5=Somewhat agree; 6=Agree; 7=Strongly agree",""
