"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"symp_less_sleep","Integer","","Recommended","(Decreased need for sleep) During the worst part of the pandemic: Did you have a period of at least two weeks in which you felt a decreased need for sleep almost every night? (At least two hours less than usual).","0;1","0=No; 1=Yes",""
"symp_hypersomnia","Integer","","Recommended","(Hypersomnia) During the worst part of the pandemic: Did you have a period of at least two weeks in which you felt an increased need for sleep almost every night? (At least two hours longer than usual)","0;1","0=No; 1=Yes",""
"symp_fatigue_covid","Integer","","Recommended","(Fatigue) During the worst part of the pandemic: Did you have a period of at least two weeks in which you felt excessively fatigued or tired on most days and were unable to do your usual activities?","0;1","0=No; 1=Yes",""
"symp_abulia","Integer","","Recommended","(Abulia) During the worst part of the pandemic: Did you have a period of at least two weeks in which you felt unmotivated almost every day to do what you had to do, including daily activities?","0;1","0=No; 1=Yes",""
"symp_anhedonia","Integer","","Recommended","(Anhedonia) During the worst part of the pandemic: Did you have a period of at least two weeks where most of the time you felt a loss of interest in things you normally enjoyed or liked to do?","0;1","0=No; 1=Yes",""
"symp_flight_ideas","Integer","","Recommended","(Flight of ideas) During the worst part of the pandemic: Did you have a period of at least 1 week in which you felt your mind was racing, filled with more ideas and thoughts than usual?","0;1","0=No; 1=Yes",""
"symp_grandiosity","Integer","","Recommended","(Grandiosity) During the worst part of the pandemic: Did you have a period of at least 1 week in which you felt unusually more confident in your skills and abilities and more competent and talented than others around you?","0;1","0=No; 1=Yes",""
"symp_depressed_mood","Integer","","Recommended","(Depressed mood) During the worst part of the pandemic: Did you have a period of at least two weeks in which you felt depressed, sad, empty, or hopeless most of the day, almost every day?","0;1","0=No; 1=Yes",""
"symp_delus","Integer","","Recommended","(Delusions) During the worst part of the pandemic: Have you ever had beliefs or ideas that others did not share or that you later discovered were not true - such as that people were against you, that people were trying to hurt you or talking about you, or believing who sent you special messages (for example, through television or radio)? Or people trying to control it through energies or other ways?","0;1","0=No; 1=Yes",""
"symp_delus_grand","Integer","","Recommended","(Delusions) During the worst part of the pandemic: Have you ever felt that you had some power, talent or special ability, much more than other people? Have you ever felt that you had a special purpose, mission, or identity? Or that he was rich or famous, or that he was related to prominent people? Or, perhaps, that he had been chosen by God for a special mission?","0;1","0=No; 1=Yes",""
"symp_hallu_aud","Integer","","Recommended","(Auditory hallucinations) During the worst part of the pandemic: Have you ever heard noises or voices when there is no one around and no explanation ordinary seems possible?","0;1","0=No; 1=Yes",""
"symp_hallu_visual","Integer","","Recommended","(Visual/Tactile/Olfactory hallucinations) During the worst part of the pandemic: Have you ever had visions or seen things that other people did not could they see? Have you ever noticed unusual smells or tastes that you couldn't explain? have you ever experienced strange sensations in your body (for example, touch, temperature, pain, floating, or weightlessness)? or sensations crawling under the skin?","0;1","0=No; 1=Yes",""
"symp_elevated_mood","Integer","","Recommended","(Elevated mood) During the worst part of the pandemic: Has there been a period of time when you felt so good, ''with the high spirits'', enthused, or ''on top of the world'' that others thought you were not who you are usually?","0;1","0=No; 1=Yes",""
"symp_irrit_mood","Integer","","Recommended","(Irritable mood) During the worst part of the pandemic: Has there been a period of time when you were irritable, angry or irascible, most of the day, at least for several days?","0;1","0=No; 1=Yes",""
