"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aeas01","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Sociable?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas02","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Moody?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas03","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Demanding?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas04","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Mellow?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas05","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Carefree?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas06","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Rude?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas07","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Relaxed?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas08","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Woozy?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas09","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Fun?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
"aeas10","Integer","","Recommended","Please rate the extent to which you believe you would experience each of these feelings immediately after drinking 5 (males) or 4 (females) drinks: Lively?","0::10","0 = Not At All; 1;2;3;4; 5 = Moderately; 6;7;8;9; 10 = Extremely",""
