"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"paoiq01","Integer","","Recommended","Can drinking alcohol cause chronic pain?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq02","Integer","","Recommended","Can drinking alcohol make pain worse over time?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq03","Integer","","Recommended","Can drinking alcohol make it more difficult to function physically despite pain?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq04","Integer","","Recommended","Can drinking alcohol reduce the effectiveness of opioid medications?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq05","Integer","","Recommended","Can the experience of pain make people want to drink alcohol or cause them to drink more?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq06","Integer","","Recommended","Can drinking alcohol directly reduce pain in a way that is similar to opioid medications?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq07","Integer","","Recommended","Can drinking alcohol help to distract from pain?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq08","Integer","","Recommended","Can quitting drinking alcohol help to improve pain and physical functioning?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq09","Integer","","Recommended","Can drinking alcohol while taking prescription opioid medication cause dangerous health effects?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
"paoiq10","Integer","","Recommended","Can drinking alcohol slow down the metabolism of opioids and increase the risk of overdose?","0;1;999","0= No; 1= Yes; 999= Not Sure/Do Not Know",""
