"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"abc01","Integer","","Recommended","Encopresis when previously toilet trained","0; 1","0 = No; 1 = Yes",""
"abc02","Integer","","Recommended","Enuresis when previously toilet trained","0; 1","0 = No; 1 = Yes",""
"abc03","Integer","","Recommended","Oral sensory seeking behaviors","0; 1","0 = No; 1 = Yes",""
"abc04","Integer","","Recommended","Oral sensory defensive behaviours","0; 1","0 = No; 1 = Yes",""
"abc05","Integer","","Recommended","Tactile seeking behaviors","0; 1","0 = No; 1 = Yes",""
"abc06","Integer","","Recommended","Tactile defensive behaviors related to previously non-aversive objects","0; 1","0 = No; 1 = Yes",""
"abc07","Integer","","Recommended","Proprioceptive seeking behaviors","0; 1","0 = No; 1 = Yes",""
"abc08","Integer","","Recommended","Proprioceptive defensive behaviors","0; 1","0 = No; 1 = Yes",""
"abc09","Integer","","Recommended","Increases in echolalia","0; 1","0 = No; 1 = Yes",""
"abc10","Integer","","Recommended","Increased anxiety under normal conditions","0; 1","0 = No; 1 = Yes",""
"abc11","Integer","","Recommended","Increase in self-regulatory behaviors","0; 1","0 = No; 1 = Yes",""
"abc12","Integer","","Recommended","Increase in self-injurious behaviors","0; 1","0 = No; 1 = Yes",""
"abc13","Integer","","Recommended","Increased sensitivity to visual or auditory stimuli","0; 1","0 = No; 1 = Yes",""
"abc14","Integer","","Recommended","Perseveration on new items/ or topics related to sex and/or sexual activity","0; 1","0 = No; 1 = Yes",""
"abc15","Integer","","Recommended","Increased difficulties with everyday transitions","0; 1","0 = No; 1 = Yes",""
"abc16","Integer","","Recommended","Other behaviors","0; 1","0 = No; 1 = Yes",""
