"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"cest1","Integer","","Recommended","Other residents at this Sober Living House care about you and your problems.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest2","Integer","","Recommended","Other residents at this Sober Living House are helpful to you.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest3","Integer","","Recommended","You are similar to (or like) other residents of this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest4","Integer","","Recommended","You have developed positive trusting friendships while at this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest5","Integer","","Recommended","There is a sense of family (or community) in this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest1_leftslh","Integer","","Recommended","Other residents at this Sober Living House did not care about you and your problems.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest2_leftslh","Integer","","Recommended","Other residents at this Sober Living House were not helpful to you.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest3_leftslh","Integer","","Recommended","You were not similar to (or like) other residents of this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest4_leftslh","Integer","","Recommended","You had not developed positive trusting friendships while at this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
"cest5_leftslh","Integer","","Recommended","There was not a sense of family (or community) in this Sober Living House.","1 :: 5","1 = Disagree strongly; 2 = Disagree a little; 3 = Neutral (no opinion); 4 = Agree a little; 5 = Agree strongly",""
