"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"aci_1","Integer","","Recommended","I am slow at doing things","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_2","Integer","","Recommended","My mind feels like it is in a fog","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_3","Integer","","Recommended","I stare off into space","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_4","Integer","","Recommended","I feel sleepy or drowsy during the day","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_5","Integer","","Recommended","I daydream","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_6","Integer","","Recommended","I lose my train of thought","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_7","Integer","","Recommended","I am not very active","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_8","Integer","","Recommended","I get lost in my own thoughts","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_9","Integer","","Recommended","I get tired easily","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_10","Integer","","Recommended","I forget what I was going to say","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_11","Integer","","Recommended","I feel confused","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_12","Integer","","Recommended","I am not motivated to do things","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_13","Integer","","Recommended","I zone out or space out","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_14","Integer","","Recommended","My mind gets mixed up","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_15","Integer","","Recommended","My thinking seems slow or slowed down","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_16","Integer","","Recommended","I have a hard time putting my thoughts into words","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_17","Integer","","Recommended","I can't focus","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
"aci_18","Integer","","Recommended","I don't pay attention","0::3","0=Not at all; 1=Sometimes; 2=Often; 3=Very Often",""
