"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"rad_qc8_1","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Physical Assault","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_2","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Sexual Assault","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_3","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Murder","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_4","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Verbal Threats","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_5","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Robbery/Burglary (Stealing from property)","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_6","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Theft (Person-to-person stealing)","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_7","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Arson","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_8","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Vandalism","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_9","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Hate Crime","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_10","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Hate Speech","0::10","0= No fear; 10= Maximum fear",""
"rad_qc8_11","Integer","","Recommended","How afraid are you about becoming a victim of any of these forms of victimization during the next year? Microaggressions (Everyday slights based on personal characteristics such as race or gender)","0::10","0= No fear; 10= Maximum fear",""
