"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"honc_01","Integer","","Recommended","Have you ever tried to quit, but couldn't?","0;1","0=No; 1=Yes",""
"honc_02","Integer","","Recommended","Do you smoke now because it is really hard to quit?","0;1","0=No; 1=Yes",""
"honc_03","Integer","","Recommended","Have you ever felt like you were addicted to tobacco?","0;1","0=No; 1=Yes",""
"honc_04","Integer","","Recommended","Do you ever have strong cravings to smoke?","0;1","0=No; 1=Yes",""
"honc_05","Integer","","Recommended","Have you ever felt like you really needed a cigarette?","0;1","0=No; 1=Yes",""
"honc_06","Integer","","Recommended","Is it hard to keep from smoking in places where you are not supposed to, like school?","0;1","0=No; 1=Yes",""
"honc_07","Integer","","Recommended","When you tried to stop smoking (or when you haven't used tobacco for a while), did you find it hard to concentrate because you couldn't smoke?","0;1","0=No; 1=Yes",""
"honc_08","Integer","","Recommended","When you tried to stop smoking (or when you haven't used tobacco for a while), did you feel more irritable because you couldn't smoke?","0;1","0=No; 1=Yes",""
"honc_09","Integer","","Recommended","When you tried to stop smoking (or when you haven't used tobacco for a while), did you feel a strong need or urge to smoke?","0;1","0=No; 1=Yes",""
"honc_10","Integer","","Recommended","When you tried to stop smoking (or when you haven't used tobacco for a while), did you feel nervous, restless or anxious because you couldn't smoke?","0;1","0=No; 1=Yes",""
