"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"pfq_1_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Embarrassment","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_2_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling ridiculous","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_3_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Self-Consciousness","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_4_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Humiliated","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_5_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling stupid","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_6_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling childish","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_7_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling helpless or paralyzed","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_8_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feelings of blushing","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_9_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling laughable","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_10_shame","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling disgusting to others","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_11_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Mild guilt","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_12_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Worry about hurting or injuring someone","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_13_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Intense guilt","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_14_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Regret","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_15_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Feeling you deserve criticism for what you did","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
"pfq_16_guilt","Integer","","Recommended","For each of the following listed feelings, rate how common the feeling is for you: Remorse","0::4;-99","0=I never experience the feeling; 1=I experience the feeling rarely; 2=I experience the feeling some of the time; 3=I experience the feeling frequently but not continuously; 4=I experience the feeling continuously or almost continuously; -99=Decline to answer",""
