"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"raads_01","Integer","","Recommended","It is difficult for me to understand how other people are feeling when we are talking.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_02","Integer","","Recommended","Some ordinary textures that do not bother others feel very offensive when they touch my skin.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_03","Integer","","Recommended","It is very difficult for me to work and function in groups.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_04","Integer","","Recommended","It is difficult to figure out what other people expect of me.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_05","Integer","","Recommended","I often do not know how to act in social situations.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_06","Integer","","Recommended","I can chat and make small talk with people.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_07","Integer","","Recommended","When I feel overwhelmed by my senses, I have to isolate myself to shut them down.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_08","Integer","","Recommended","How to make friends and socialize is a mystery to me.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_09","Integer","","Recommended","When talking to someone, I have a hard time telling when it is my turn to talk or to listen.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_10","Integer","","Recommended","Sometimes I have to cover my ears to block out painful noises (like vacuum cleaners or people talking too much or too loudly).","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_11","Integer","","Recommended","It can be very hard to read someones face, hand, and body movements when we are talking.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_12","Integer","","Recommended","I focus on details rather than the overall idea.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_13","Integer","","Recommended","I take things too literally, so I often miss what people are trying to say.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
"raads_14","Integer","","Recommended","I get extremely upset when the way I like to do things is suddenly changed.","1 :: 4","1= True Now and When Young; 2= True Only Now; 3= True when I was young; 4= Never True",""
