"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sbca1","Integer","","Recommended","I do not attend my clinic appointments because the clinic is too far from the bus stop/taxi rank","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca2","Integer","","Recommended","I do not attend my clinic appointments because transport to the clinic is too expensive","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca3","Integer","","Recommended","I do not attend my clinic appointments because it takes too much time to travel to and from the clinic","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca4","Integer","","Recommended","I do not attend my clinic appointments because I do not want to be identified as HIV positive","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca5","Integer","","Recommended","I do not attend my clinic appointments because the staff at the clinic is rude to me","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca6","Integer","","Recommended","I do not attend my clinic appointments because the staff at the clinic is impatient towards me","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca7","Integer","","Recommended","I do not attend my clinic appointments because there is no privacy at the clinic when I meet with the nurse","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca8","Integer","","Recommended","I do not attend my clinic appointments because I cannot get time off work to do so","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca9","Integer","","Recommended","I do not attend my clinic appointments because I have to wait too long to see the doctor, nurse, or pharmacist","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca10","Integer","","Recommended","I do not attend my clinic appointments because I feel unsafe walking to and from the clinic","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca11","Integer","","Recommended","I do not attend my clinic appointments because the clinic is too crowded","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
"sbca12","Integer","","Recommended","I do not attend clinic appointments because there is no place where I can speak to a nurse or counsellor without being heard by other people","1::5;-9","1=Never; 2=Rarely; 3=Some of the time; 4=Most of the time; 5=Always; -9=Missing/Unknown",""
