"ElementName","DataType","Size","Required","Condition","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"birth_premature","String","20","Recommended","","Was birth premature?","Yes; No","",""
"premature_weeks","Integer","","Conditional","birth_premature == 'Yes'","Weeks premature","","0 = Full term",""
"respond_detail","Integer","","Recommended","","Respondent detail","1::8;999","1 = Mother; 2 = Father; 3 = Other relative or custodial adult; 4 = Teacher or caregiver; 5 = Other specialist; 6 = Other; 7 = Child; 8= Spouse; 999 = Not available",""
"emotion_eyegaze_q2","String","50","Recommended","","When your child is playing with a toy, does he/she look at you and then back at the toy?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q3","String","50","Recommended","","If you look at and point to a toy out of your child's reach, does your child look at the toy?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q1","String","50","Recommended","","When your child is happy, does he/she smile or laugh and look at you at the same time?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q4","String","50","Recommended","","When your child is upset or frustrated, does he/she express this clearly with facial expression, sounds, or words?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q5","String","50","Recommended","","How often does your child get upset or frustrated each day?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q6","String","50","Recommended","","When your child is upset, does he/she calm down easily (within a few minutes)?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q7","String","50","Recommended","","When you are with your child, is your child comfortable interacting with unfamiliar people or new situations?","Not yet; Sometimes; Often","",""
"emotion_eyegaze_q8","String","50","Recommended","","When your child is afraid, does he/she seek comfort from you?","Not yet; Sometimes; Often","",""
"communicat_q9","String","50","Recommended","","Does your child clearly let you know when he/she needs help (for example, wants you to open a container)?","Not yet; Sometimes; Often","",""
"communicat_q10","String","50","Recommended","","Does your child clearly let you know when he/she wants an object  that is out of reach?","Not yet; Sometimes; Often","",""
"communicat_q11","String","50","Recommended","","Does your child let you know that he/she does not want something that you are offering him/her?","Not yet; Sometimes; Often","",""
"communicat_q12","String","50","Recommended","","Does your child greet you when you come in the room or leave?","Not yet; Sometimes; Often","",""
"communicat_q13","String","50","Recommended","","Does your child reach out to give you a hug or kiss?","Not yet; Sometimes; Often","",""
"communicat_q14","String","50","Recommended","","Does your child try to get your attention when you are busy doing something, such as when you are talking with an adult or preparing a meal?","Not yet; Sometimes; Often","",""
"communicat_q15","String","50","Recommended","","If your child does something that is funny and you laugh, does your child do it again for the attention?","Not yet; Sometimes; Often","",""
"communicat_q16","String","50","Recommended","","Does your child try to get you to notice interesting objects, not to get you to do anything with them, but just to get you to look at them (for example, show you an object or point to a picture in a book)?","Not yet; Sometimes; Often","",""
"communicat_q17","String","50","Recommended","","Does your child try to draw your attention to exciting or unexpected things, such as a pop-up toy or something falling down?","Not yet; Sometimes; Often","",""
"communicat_q18","String","50","Recommended","","If you can't figure out what your child is trying to communicate, does your child try again or use a different way to get his/her meaning across?","Not yet; Sometimes; Often","",""
"gestures_q19","String","50","Recommended","","Does your child use gestures that are easily understood by others, such as giving objects, showing objects, pointing, and waving?","Not yet; Sometimes; Often","",""
"gestures_q20a","String","50","Recommended","","Which of the following gestures have you seen your child use? give an object to you","Yes; No","",""
"gestures_q20b","String","50","Recommended","","Which of the following gestures have you seen your child use? show an object to you {i.e., by extending arm but not releasing object)","Yes; No","",""
"gestures_q20c","String","50","Recommended","","Which of the following gestures have you seen your child use? push an object away","Yes; No","",""
"gestures_q20d","String","50","Recommended","","Which of the following gestures have you seen your child use? raise arms to be picked up","Yes; No","",""
"gestures_q20e","String","50","Recommended","","Which of the following gestures have you seen your child use? reach with an open hand toward an object","Yes; No","",""
"gestures_q20f","String","50","Recommended","","Which of the following gestures have you seen your child use? wave ""hi"" or ""bye bye""","Yes; No","",""
"gestures_q20g","String","50","Recommended","","Which of the following gestures have you seen your child use? point to an object or a picture that is within reach","Yes; No","",""
"gestures_q20h","String","50","Recommended","","Which of the following gestures have you seen your child use? point to an object or a picture out of reach","Yes; No","",""
"gestures_q20i","String","50","Recommended","","Which of the following gestures have you seen your child use? shake head to indicate ""no""","Yes; No","",""
"gestures_q20k","String","50","Recommended","","Which of the following gestures have you seen your child use? nod head to indicate ""yes""","Yes; No","",""
"sounds_q21","String","50","Recommended","","Does your child use sounds to communicate both pleasure and discomfort?","Not yet; Sometimes; Often","",""
"sounds_q22","String","50","Recommended","","Children use sounds to communicate in vocal play before they use sounds in words. Does your child use a variety of different consonant sounds, such as ba, ga ta and da either in vocal play or in words?","Not yet; Sometimes; Often","",""
"sounds_q23","String","425","Conditional","sounds_q22 != 'Not yet'","If so, which of the following sounds have you heard your child use, either in vocal play or in words?","","/m/ as in ""mamamama"" or ""mama"" or ""moo""; /n/ as in ""nununu"" or ""no no""; /b/ as in ""babababa"" or ""bibo"" or ""boo"" or ""bye bye""; /d/ as in ""dodododo"" or ""daddy""; /g/ as in ""googoo"" or ""gone gone""; /w/ as in ""woowoo"" or ""weewee"" or ""wagon""; /I/ as in ""lalala"" or ""balloon"" or ""little""; /y/ as in ""yayaya"" or ""yum yum"" or ""you""; /s/as in ""sasasa"" or ""sock"" or ""kiss""; /sh/ as in ""shashasha"" or ""hush"" or ""shoe""",""
"sounds_q24","String","50","Recommended","","Does your child put sounds together, either in vocal play or words (for example, ""baba"", ""mamama"", ""dada"",""bye bye"")?","Not yet; Sometimes; Often","",""
"words_q25","String","50","Recommended","","Does your child use words to communicate that are understandable to you?","Not yet; Sometimes; Often","",""
"words_q26","String","350","Conditional","words_q25 != 'Not yet'","If so, which of the following words have you heard your child use (include approximations that you recognize, such as ""nana"" for banana or ""baba"" for bottle)?","","mommy; daddy; baby; dog; kitty; bird; duck; eye; nose; moo; woof; grr (animal noise); peekaboo; bye bye; no; hi; all gone; uhoh; night night; outside; yum yum; vroom; ouch; up; bottle; banana; ball; bath; book; car; cookie; juice; sock; keys; balloon; truck",""
"words_q27","String","50","Recommended","","Does your child use words that are understandable to unfamiliar adults?","Not yet; Sometimes; Often","",""
"words_q28","String","50","Recommended","","Does your child put two or more words together (for example, more cookie, daddy car, bye bye kitty)?","Not yet; Sometimes; Often","",""
"understanding_q29","String","50","Recommended","","Does your child respond when you call his/her name (for example, by looking/turning head)?","Not yet; Sometimes; Often","",""
"understanding_q30","String","50","Recommended","","Does your child respond appropriately to gestures (for example, giving you an object when you say ""give it to me"" while holding out your hand or while pointing to the object)?","Not yet; Sometimes; Often","",""
"understanding_q31","String","50","Recommended","","Does your child understand words or short phrases when you use only words and do not use gestures?","Not yet; Sometimes; Often","",""
