"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"wolf_im_em_01","Integer","","Recommended","I prefer activities that challenge my knowledge or abilities.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_02","Integer","","Recommended","I often do things mainly because I think they can help me.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_03","Integer","","Recommended","I like to go on to new work that's at a more difficult level.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_04","Integer","","Recommended","I tend to do things that makeme feel good about myself.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_05","Integer","","Recommended","I prefer games of skill to games of chance.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_06","Integer","","Recommended","I tend to like activities where I know what the rules are.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_07","Integer","","Recommended","I especially like doing hard things that I am good at.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_08","Integer","","Recommended","I never feel tired or sleepy.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_09","Integer","","Recommended","I do not like to be wrong.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_10","Integer","","Recommended","I like finding out new ways to do things and learn new skills.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_11","Integer","","Recommended","I perform better when I get detailed instructions about what to do.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_12","Integer","","Recommended","I like difficult work because I find it more interesting.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_13","Integer","","Recommended","If I have to put in effort, I want to get something in return.","1 :: 7","1= Not At All True; 7= Very True",""
"wolf_im_em_14","Integer","","Recommended","I really enjoy learning for its own sake.","1 :: 7","1= Not At All True; 7= Very True",""
