"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"gdts_1","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with family?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_2","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from your school environment?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_3","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from your workplace environment?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_4","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with friends?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_5","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with strangers?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_6","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from your housing or living situation?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_7","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with medical healthcare providers?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_8","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with mental healthcare providers?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_9","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with healthcare office staff?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_10","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from lack of access to health care?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_11","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from interactions with staff in places of public accommodation (retail stores, restaurants, hotels, movie theaters, etc.)?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
"gdts_12","Integer","","Recommended","In the past 12 months, how often have you experienced gender dysphoria resulting from use of public facilities, such as bathrooms or locker rooms?","1::5; 999","1=Never; 2=Hardly ever/rarely; 3=Sometimes; 4=Often; 5=Very often/constantly; 999=Not answered/Missing",""
