"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"senr1","Integer","","Recommended","I look forward to becoming a parent with confidence in my role as a parent.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr2","Integer","","Recommended","I feel I can catch on quickly to the basic skills of caring for my child.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr3","Integer","","Recommended","I think I will have difficulty interpreting my baby's cries, knowing whether he or she wants to be fed rather than played with or held.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr4","Integer","","Recommended","I imagine myself getting uptight if my baby becomes fussy or irritable for longer than a few minutes.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr5","Integer","","Recommended","I expect to be comfortable playing actively with my baby and getting him or her to smile at me.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr6","Integer","","Recommended","I feel unprepared in becoming a parent.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr7","Integer","","Recommended","I imagine myself in most circumstances, even when I am tired, able to cope well with meeting my baby's needs.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr8","Integer","","Recommended","Touching, holding, and being affectionate with my baby will be comfortable and pleasurable for me.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr9","Integer","","Recommended","I think I will be able to trust my feelings and intuitions about taking care of my baby.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr10","Integer","","Recommended","I wonder if I really can understand my baby's needs.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr11","Integer","","Recommended","I am unsure just how much attention I should give my baby.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr12","Integer","","Recommended","I expect to be able to soothe my baby easily when he or she is crying or fussing.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr13","Integer","","Recommended","I am concerned that my patience with my baby may be limited.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
"senr14","Integer","","Recommended","I expect to feel comfortable and natural using baby-talk.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr15","Integer","","Recommended","I find nothing unusually complicated or difficult about the prospect of feeding, playing with, or providing day-to-day care for a child.","1::7","1 = Not at all representative of me; 3 = Slightly representative of me; 5 = Moderately representative of me; 7 = Strongly representative of me",""
"senr16","Integer","","Recommended","The thought of being solely responsible for my child is frightening.","1::7","1 = Strongly representative of me; 3 = Moderately representative of me; 5 = Slightly representative of me; 7 = Not at all representative of me",""
