"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"social_impacts_ill1","Integer","","Recommended","My employer/co-workers have discriminated against me","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill2","Integer","","Recommended","Some people act as though I am less competent than usual","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill3","Integer","","Recommended","I feel I have been treated with less respect than usual by others","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill4","Integer","","Recommended","I feel others are concerned they could ''catch'' my illness through contact like a handshake or eating food I prepare","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill5","Integer","","Recommended","I feel others avoid me because of my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill6","Integer","","Recommended","Some family members have rejected me because of my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill7","Integer","","Recommended","I feel some friends have rejected me because of my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill8","Integer","","Recommended","I encounter embarrassing situations as a result of my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill9","Integer","","Recommended","Due to my illness others seem to feel awkward and tense when they are around me","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill10","Integer","","Recommended","I have experienced financial hardship that has affected how I feel about myself","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill11","Integer","","Recommended","My job security has been affected by my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill12","Integer","","Recommended","I have experienced financial hardship that has affected my relationship with others","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill13","Integer","","Recommended","I feel others think I am to blame for my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill14","Integer","","Recommended","I do not feel I can be open with others about my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill15","Integer","","Recommended","I fear someone telling others about my illness without my permission","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill16","Integer","","Recommended","I feel I need to keep my illness a secret","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill17","Integer","","Recommended","I feel I am at least partially to blame for my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill18","Integer","","Recommended","I feel set apart from others who are well","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill19","Integer","","Recommended","I have a greater need than usual for reassurance that others care about me","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill20","Integer","","Recommended","I feel lonely more often than usual","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill21","Integer","","Recommended","Due to my illness, I have a sense of being unequal in my relationship with others","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill22","Integer","","Recommended","I feel less competent than I did before my illness","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill23","Integer","","Recommended","Due to my illness, I sometimes feel useless","1::4","1=Strongly Disagree; 4=Strongly Agree",""
"social_impacts_ill24","Integer","","Recommended","Changes in my appearance, have affected my social relationships","1::4","1=Strongly Disagree; 4=Strongly Agree",""
