"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"sraeq_1","Integer","","Recommended","After a few drinks of alcohol, I feel closer to a sexual partner.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_2","Integer","","Recommended","After a few drinks of alcohol, I am more sexually responsive.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_3","Integer","","Recommended","After a few drinks of alcohol, I am less nervous about sex.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_4","Integer","","Recommended","After a few drinks of alcohol, I am less likely to use birth control.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_5","Integer","","Recommended","After a few drinks of alcohol, I have sex with people whom I wouldn't have sex with if I were sober.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_6","Integer","","Recommended","After a few drinks of alcohol, I enjoy sex more than usual.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_7","Integer","","Recommended","After a few drinks of alcohol, I am a better lover.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_8","Integer","","Recommended","After a few drinks of alcohol, I am less likely to take precautions before having sex.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_9","Integer","","Recommended","After a few drinks of alcohol, I am less likely to talk with a new sexual partner about whether they have a sexually transmitted disease, like AIDS or gonorrhea.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_10","Integer","","Recommended","After a few drinks of alcohol, I am more likely to do sexual things that I wouldn't do when sober.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_11","Integer","","Recommended","After a few drinks of alcohol, I find it harder to say no to sexual advances.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_12","Integer","","Recommended","After a few drinks of alcohol, I am less likely to use a condom or to ask a partner to use a condom.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_13","Integer","","Recommended","After a few drinks of alcohol, I am more likely to have sex on a first date.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_14","Integer","","Recommended","After a few drinks of alcohol, I don't always keep to the rules I make for myself about sex when I've been drinking.","1::6","1 = Strongly disagree; 6 = Strongly agree",""
"sraeq_total","Integer","","Recommended","SRAEQ Total Score","0::84","Sum of items sraeq_1-sraeq_14 converted to 6-point scale (1 point for items marked 1; 6 points for items marked 6)",""
"sraeq_5pt_8","Integer","","Recommended","After a few drinks of alcohol, I am less likely to take precautions before having sex.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_9","Integer","","Recommended","After a few drinks of alcohol, I am less likely to talk with a new sexual partner about whether they have a sexually transmitted disease, like AIDS or gonorrhea.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_10","Integer","","Recommended","After a few drinks of alcohol, I am more likely to do sexual things that I would not do when sober.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_11","Integer","","Recommended","After a few drinks of alcohol, I find it harder to say no to sexual advances.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_12","Integer","","Recommended","After a few drinks of alcohol, I am less likely to use a condom or to ask a partner to use a condom.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_13","Integer","","Recommended","After a few drinks of alcohol, I am more likely to have sex on a first date.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_14","Integer","","Recommended","After a few drinks of alcohol, I do not always keep to the rules I make for myself about sex when I have been drinking.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_total","Integer","","Recommended","Sex-Related Alcohol Expectancies Questionnaire (SRAEQ) Total Score (5-point Scale)","14::70","Sum of items sraeq_5pt_1-sraeq_5pt_14 converted to 5-point scale (1 point for items marked 1; 5 points for items marked 5)",""
"sraeq_5pt_1","Integer","","Recommended","After a few drinks of alcohol, I feel closer to a sexual partner.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_2","Integer","","Recommended","After a few drinks of alcohol, I am more sexually responsive.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_3","Integer","","Recommended","After a few drinks of alcohol, I am less nervous about sex.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_4","Integer","","Recommended","After a few drinks of alcohol, I am less likely to use birth control.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_5","Integer","","Recommended","After a few drinks of alcohol, I have sex with people whom I would not have sex with if I were sober.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_6","Integer","","Recommended","After a few drinks of alcohol, I enjoy sex more than usual.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
"sraeq_5pt_7","Integer","","Recommended","After a few drinks of alcohol, I am a better lover.","1::5","1 = Strongly disagree; 5 = Strongly agree",""
